name_algo,score
DSsubspace,1118.1000000000001
DSbase,1118.1000000000001
SplitDE,1117.96
CMALS,1114.76
BAR,1109.1399999999999
ASCMADEthird,1108.68
BFGSCMA,1107.5
Portfolio,1107.5
MultiBFGSPlus,1107.5
MultiCobyla,1107.5
MultiCobylaPlus,1107.5
MultiSQP,1107.5
MultiSQPPlus,1107.5
SQPCMAPlus,1107.5
SQPCMA,1107.5
BFGSCMAPlus,1107.5
MultiBFGS,1107.5
MIMIC,1105.2400000000002
RandRecombiningDiscreteLognormalOnePlusOne,1104.82
CMAL3,1102.06
ForceMultiCobyla,1098.44
F2SQPCMA,1096.76
SmoothRecombiningPortfolioDiscreteOnePlusOne,1094.62
NgIoh6,1094.62
RecombiningPortfolioDiscreteOnePlusOne,1094.62
LPCMA,1094.0
CMAL2,1093.48
CMASL3,1093.48
CMAL,1093.48
SplitTwoPointsDE,1087.9399999999998
BAR4,1087.8999999999999
DiscreteBSOOnePlusOne,1084.24
CMALn,1084.04
LargeCMA,1083.98
XLognormalDiscreteOnePlusOne,1067.0800000000004
BAR3,1064.24
RotatedRecombiningGA,1060.54
CMandAS3,1059.9800000000002
FCMA,1042.66
BAR2,1041.66
ParaPortfolio,1036.5400000000004
NLOPT_GN_ESCH,1036.5
PolyCMA,1035.8799999999999
ChainDEwithLHSdim,1033.7400000000002
LSDE,1030.0800000000002
DE,1030.0800000000002
SVMMetaModelDE,1030.0800000000002
MetaModelDE,1030.0800000000002
HSDE,1030.0800000000002
NeuralMetaModelDE,1030.0800000000002
RFMetaModelDE,1030.0800000000002
NoisyDE,1030.0800000000002
VastDE,1030.0800000000002
ChainDEwithRdim,1028.54
ChainDEwithLHSsqrt,1027.8200000000002
SpecialRL,1027.8
HugeLognormalDiscreteOnePlusOne,1027.1200000000001
ChainDEwithMetaRecenteringsqrt,1025.0
ChainDEwithMetaTuneRecenteringsqrt,1025.0
ChainDEwithR,1023.8799999999999
Quad1MetaModelD,1023.4999999999998
RF1MetaModelD,1023.4999999999998
SVM1MetaModelD,1023.4999999999998
Neural1MetaModelD,1023.4999999999998
EDCMA,1023.4999999999998
ChainDEwithMetaTuneRecenteringdim,1023.18
ChainDEwithMetaRecenteringdim,1023.18
NoisyRL1,1019.26
ChainDEwithMetaTuneRecentering,1018.1
ChainDEwithMetaRecentering,1018.1
ChainDiagonalCMAPowell,1016.54
ChainDEwithMetaTuneRecentering30,1015.32
ChainDEwithMetaRecentering30,1015.32
NoisyRL3,1015.3199999999999
NoisyRL2,1015.3199999999999
ChainDEwithLHS,1014.7
ChainDEwithRsqrt,1013.5200000000001
ChainDEwithLHS30,1013.24
Tabu,1012.54
QrDE,1011.0
MiniQrDE,1011.0
TinyQODE,1009.6
SODE,1009.6
SPQODE,1009.6
LQODE,1009.6
QODE,1009.6
OpoDE,1009.1
OpoTinyDE,1008.5
ChainDEwithR30,1008.3
QNDE,1008.1600000000001
MiniLhsDE,1006.7400000000001
LhsDE,1006.7400000000001
LhsHSDE,1006.7400000000001
TinyLhsDE,1006.7400000000001
ChainDE,1006.5199999999999
MiniDE,1005.0199999999999
MetaModelQODE,1004.1
XSmallLognormalDiscreteOnePlusOne,1002.4799999999999
ChainNaiveTBPSACMAPowell,988.1200000000001
ChainMetaModelPowell,983.8799999999999
ChainCMAPowell,983.8799999999999
MultiCMA,982.18
Carola11,980.74
Carola14,980.74
Powell,979.5
NelderMead,979.3600000000002
ECMA,969.46
MetaModelDiagonalCMA,968.14
DiagonalCMA,968.14
ChainCMAwithMetaRecentering,967.5200000000001
ChainCMAwithR,967.1800000000001
ChainCMAwithLHS,964.64
Carola7,956.0199999999999
TripleCMA,955.74
SmoothPortfolioDiscreteOnePlusOne,935.96
PortfolioDiscreteOnePlusOne,935.96
ChainCMAwithRsqrt,933.54
LSCMA,932.3799999999999
SVM1MetaModel,932.3799999999999
SVMMetaModel,932.3799999999999
Carola3,932.3799999999999
RescaledCMA,932.3799999999999
MetaCMA,932.3799999999999
MetaModel,932.3799999999999
RFMetaModel,932.3799999999999
RF1MetaModel,932.3799999999999
Quad1MetaModel,932.3799999999999
Neural1MetaModel,932.3799999999999
NeuralMetaModel,932.3799999999999
OldCMA,932.3799999999999
CMA,932.3799999999999
ChoiceBase,932.3799999999999
CMARS,931.82
MultiScaleCMA,929.64
ChainCMAwithLHSsqrt,924.28
ChainCMAwithMetaRecenteringsqrt,919.8800000000001
SQOPSODCMA,919.64
Carola15,918.0800000000002
Carola5,910.18
DiscreteDE,904.86
Carola4,878.5600000000001
ChainCMASQP,866.4999999999998
ChainMetaModelSQP,866.4999999999998
RotatedTwoPointsDE,853.18
EDA,837.8799999999999
MemeticDE,837.36
NLOPT_GN_DIRECT_L,815.3000000000001
BPRotationInvariantDE,806.1999999999999
ChainDSPowell,785.6
DS5,760.1000000000001
DS4,760.1000000000001
SQOPSODCMA20,755.3399999999999
ChainNaiveTBPSAPowell,746.3199999999999
TwoPointsDE,731.9799999999999
RFMetaModelTwoPointsDE,731.9799999999999
NeuralMetaModelTwoPointsDE,731.9799999999999
VoronoiDE,731.9799999999999
CM,731.9799999999999
SVMMetaModelTwoPointsDE,731.9799999999999
MetaModelTwoPointsDE,731.9799999999999
GeneticDE,731.4599999999999
RotationInvariantDE,728.0400000000001
QOTPDE,701.74
LQOTPDE,701.74
QOPSO,700.08
SplitSQOPSO,697.44
ChainPSOwithMetaRecentering,694.24
PSO,692.7
RFMetaModelPSO,692.7
MetaModelPSO,692.7
SVMMetaModelPSO,692.7
SQOPSO,691.1
ChainPSOwithLHS,690.54
ChainPSOwithR,689.58
ChainPSOwithMetaRecentering30,687.4799999999999
SplitPSO,685.22
ChainPSOwithRsqrt,684.4199999999998
CMAbounded,683.0199999999999
SOPSO,682.2399999999999
ChainPSOwithMetaRecenteringsqrt,680.8599999999999
ChainPSOwithMetaRecenteringdim,679.72
ChainPSOwithRdim,679.42
ChainPSOwithLHS30,679.1
ChainPSOwithR30,678.72
QORealSpacePSO,678.1600000000001
RealSpacePSO,676.7800000000001
RPowell,676.6399999999999
SQORealSpacePSO,674.28
ChainPSOwithLHSdim,673.46
ChainPSOwithLHSsqrt,672.32
OnePointDE,672.1800000000001
ParametrizationDE,654.9400000000002
NLOPT_GN_CRS2_LM,646.28
CMAsmall,643.4399999999999
CMAstd,642.4799999999999
TinyCMA,635.8
AlmostRotationInvariantDE,633.92
MilliCMA,629.3199999999999
SDiagonalCMA,618.6600000000001
MicroCMA,617.58
SVM1MetaModelE,584.64
Neural1MetaModelE,584.64
CMAtuning,584.64
Quad1MetaModelE,584.64
RF1MetaModelE,584.64
MultiDS,572.5
DSproba,570.26
MetaModelDSproba,570.26
LPSDE,566.8199999999999
VLPCMA,559.6
DS14,555.6999999999999
ChainMetaModelDSSQP,541.0999999999999
DS3p,529.6
NaiveAnisoEMNATBPSA,526.52
AnisoEMNATBPSA,526.52
NLOPT_GN_ISRES,491.0999999999999
DiscreteNoisy13Splits,480.71999999999997
RecMixES,461.62
RecMutDE,461.52
AvgMetaRecenteringNoHull,458.32
MetaTuneRecentering,458.32
HullCenterHullAvgScrHammersleySearch,458.32
HullCenterHullAvgScrHammersleySearchPlusMiddlePoint,458.32
CauchyScrHammersleySearch,458.32
HullAvgMetaRecentering,458.32
HullCenterHullAvgCauchyScrHammersleySearch,458.32
TEAvgCauchyScrHammersleySearch,458.32
HullAvgMetaTuneRecentering,458.32
MetaRecentering,458.32
TEAvgScrHammersleySearch,458.32
TEAvgScrHammersleySearchPlusMiddlePoint,458.32
MetaCauchyRecentering,458.32
ScrHammersleySearchPlusMiddlePoint,458.32
ScrHammersleySearch,458.32
RescaleScrHammersleySearch,458.32
HullCenterHullAvgRandomSearch,454.5200000000001
StupidRandom,454.5200000000001
RandomSearch,454.5200000000001
AvgRandomSearch,454.5200000000001
TEAvgRandomSearch,454.5200000000001
RandomSearchPlusMiddlePoint,454.5200000000001
CauchyRandomSearch,454.34000000000003
MutDE,453.4799999999999
NonNSGAIIES,453.4799999999999
ES,453.4799999999999
MixES,453.4799999999999
RecES,453.34
TEAvgCauchyLHSSearch,452.0
HullCenterHullAvgLHSSearch,452.0
LHSSearch,452.0
HullCenterHullAvgCauchyLHSSearch,452.0
CauchyLHSSearch,452.0
TEAvgLHSSearch,452.0
IsoEMNATBPSA,451.84
NaiveIsoEMNATBPSA,451.84
cGA,451.8
TBPSA,450.06000000000006
NaiveTBPSA,450.06000000000006
AnisoEMNA,449.26000000000005
NaiveAnisoEMNA,449.26000000000005
RandomScaleRandomSearch,449.2
RandomScaleRandomSearchPlusMiddlePoint,449.2
HullCenterHullAvgScrHaltonSearch,444.38
ScrHaltonSearch,444.38
ScrHaltonSearchPlusMiddlePoint,444.38
HullCenterHullAvgScrHaltonSearchPlusMiddlePoint,444.38
AvgHammersleySearch,443.69999999999993
HammersleySearchPlusMiddlePoint,443.69999999999993
HammersleySearch,443.69999999999993
HullCenterHullAvgLargeHammersleySearch,443.69999999999993
AvgHammersleySearchPlusMiddlePoint,443.69999999999993
HaltonSearch,438.1
LargeHaltonSearch,438.1
HaltonSearchPlusMiddlePoint,438.1
QORandomSearch,434.35999999999996
PortfolioDiscreteOnePlusOneT,433.43999999999994
QOScrHammersleySearch,433.34000000000003
TinySPSA,432.4799999999999
MicroSPSA,432.4799999999999
SPSA,432.4799999999999
OScrHammersleySearch,432.1
ORandomSearch,430.86
FastGAOptimisticNoisyDiscreteOnePlusOne,424.84000000000003
IsoEMNA,423.91999999999996
NaiveIsoEMNA,423.91999999999996
FastGANoisyDiscreteOnePlusOne,421.14
SADiscreteLenglerOnePlusOneLin100,400.34000000000003
SADiscreteLenglerOnePlusOneLinAuto,400.34000000000003
SADiscreteLenglerOnePlusOneLin1,400.34000000000003
SADiscreteLenglerOnePlusOneExp09Auto,400.34000000000003
SADiscreteLenglerOnePlusOneExp099,400.34000000000003
