step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
60,-134.89999389648438,31.57611083984375,4.5740203857421875,43.41699091593424,-134.89999389648438,-136.0,26.285165786743164,-184.32000732421875,-174.0500030517578,-168.10000610351562,-152.0,-136.0,-117.5,-103.80000305175781,-95.9000015258789,-76.87999725341797
120,-148.0,31.157148361206055,5.999058723449707,42.59460703531901,-148.0,-147.0,22.271955490112305,-200.0800018310547,-184.0500030517578,-175.10000610351562,-162.0,-147.0,-132.0,-121.80000305175781,-115.80000305175781,-108.0
180,-156.1199951171875,30.760299682617188,7.091144561767578,41.79846445719401,-156.1199951171875,-154.5,20.3033390045166,-200.0800018310547,-190.0,-182.1999969482422,-170.25,-154.5,-139.0,-129.8000030517578,-124.0,-122.0
240,-164.22000122070312,30.261838912963867,7.9326887130737305,40.91123962402344,-164.22000122070312,-160.0,21.665447235107422,-216.1999969482422,-205.0500030517578,-197.10000610351562,-174.25,-160.0,-148.0,-139.8000030517578,-136.0,-131.9600067138672
300,-173.25999450683594,29.731433868408203,8.68790054321289,39.9651985168457,-173.25999450683594,-174.0,22.65860366821289,-217.1999969482422,-212.1999969482422,-204.0,-185.0,-174.0,-156.0,-148.0,-140.0,-138.0
360,-179.72000122070312,29.094879150390625,9.219474792480469,38.95781580607096,-179.72000122070312,-178.0,22.118806838989258,-227.05999755859375,-217.0,-206.60000610351562,-190.5,-178.0,-164.75,-154.0,-151.89999389648438,-145.8800048828125
420,-189.6999969482422,28.37288475036621,9.684913635253906,37.84501393636068,-189.6999969482422,-186.5,22.038827896118164,-233.13999938964844,-227.0500030517578,-220.1999969482422,-204.0,-186.5,-174.0,-163.89999389648438,-157.89999389648438,-154.0
480,-201.75999450683594,27.55964469909668,10.017603874206543,36.62783177693685,-201.75999450683594,-199.0,25.694793701171875,-258.0,-247.1999969482422,-240.0,-219.25,-199.0,-182.25,-173.8000030517578,-164.9499969482422,-157.9600067138672
540,-210.87998962402344,26.768627166748047,10.307697296142578,35.415472666422524,-210.8800048828125,-209.0,29.096832275390625,-272.1199951171875,-258.3500061035156,-247.39999389648438,-230.0,-209.0,-188.0,-174.0,-170.0,-159.9600067138672
600,-222.22000122070312,25.976959228515625,10.529142379760742,34.21518580118815,-222.22000122070312,-220.0,32.09036636352539,-292.20001220703125,-284.04998779296875,-260.0,-239.0,-220.0,-201.0,-180.0,-174.0,-169.9199981689453
660,-235.87998962402344,25.06420135498047,10.64029312133789,32.86778132120768,-235.8800048828125,-228.5,32.81684875488281,-302.4800109863281,-296.1499938964844,-280.6000061035156,-255.5,-228.5,-212.0,-200.0,-195.39999389648438,-175.9600067138672
720,-249.9399871826172,24.245941162109375,10.79206371307373,31.55975850423177,-249.94000244140625,-246.5,36.34056091308594,-334.0799865722656,-312.1000061035156,-299.29998779296875,-270.0,-246.5,-223.25,-208.0,-200.0,-187.9199981689453
780,-263.1999816894531,23.391891479492188,10.872013092041016,30.247013092041016,-263.20001220703125,-257.5,37.2843132019043,-340.0400085449219,-326.3999938964844,-314.0,-292.0,-257.5,-240.0,-219.8000030517578,-201.89999389648438,-199.9199981689453
840,-274.41998291015625,22.629356384277344,11.009554862976074,28.978015899658203,-274.4200134277344,-272.5,37.073760986328125,-354.5199890136719,-334.20001220703125,-320.1000061035156,-296.0,-272.5,-253.75,-231.8000030517578,-215.60000610351562,-205.9600067138672
900,-286.0,21.792034149169922,11.016035079956055,27.66611925760905,-286.0,-285.5,36.17236328125,-366.2799987792969,-347.20001220703125,-330.3999938964844,-308.0,-285.5,-263.5,-241.8000030517578,-227.8000030517578,-215.8000030517578
960,-297.1399841308594,21.035194396972656,11.018877983093262,26.45244026184082,-297.1400146484375,-296.0,35.20085906982422,-366.2799987792969,-351.1499938964844,-344.0,-319.25,-296.0,-274.0,-252.0,-239.89999389648438,-231.9600067138672
1020,-304.3800048828125,20.34589385986328,11.012924194335938,25.32421048482259,-304.3800048828125,-302.5,35.335758209228516,-371.5,-366.0,-350.3999938964844,-328.5,-302.5,-279.5,-254.0,-251.89999389648438,-244.0
1080,-313.6999816894531,19.635469436645508,10.988818168640137,24.14738655090332,-313.70001220703125,-312.5,35.80488586425781,-396.0799865722656,-371.75,-358.20001220703125,-334.75,-312.5,-291.75,-264.8999938964844,-252.0,-248.0
1140,-323.1000061035156,18.936613082885742,10.930049896240234,23.007625579833984,-323.1000061035156,-321.0,35.14470291137695,-400.0400085449219,-386.5,-370.0,-347.25,-321.0,-300.0,-279.79998779296875,-271.6000061035156,-255.9600067138672
