step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
45,-519.219970703125,127.95498657226562,7.737746238708496,177.0328572591146,-519.219970703125,-513.0,117.0842056274414,-784.0800170898438,-743.25,-663.3999633789062,-580.0,-513.0,-435.5,-385.79998779296875,-360.60003662109375,-314.91998291015625
90,-593.9400024414062,127.9227294921875,8.133645057678223,176.9624226888021,-593.9400024414062,-571.0,109.90230560302734,-860.6799926757812,-790.9500122070312,-750.5999755859375,-654.75,-571.0,-519.0,-469.5,-447.4500427246094,-420.94000244140625
135,-620.4599609375,127.8905258178711,8.480000495910645,176.89550272623697,-620.4600219726562,-604.5,106.25773620605469,-860.6799926757812,-828.4500122070312,-782.0999755859375,-679.75,-604.5,-539.0,-499.70001220703125,-481.95001220703125,-470.679931640625
180,-635.5599975585938,127.8602523803711,8.806809425354004,176.83002217610678,-635.5599975585938,-620.5,100.78831481933594,-860.6799926757812,-828.4500122070312,-782.0999755859375,-685.5,-620.5,-561.0,-523.5999755859375,-489.60003662109375,-478.8399658203125
225,-657.3800048828125,127.83330535888672,9.094795227050781,176.77112833658853,-657.3800048828125,-647.0,99.8115005493164,-894.6799926757812,-837.5999755859375,-785.4000244140625,-698.5,-647.0,-581.5,-541.7999877929688,-529.0001220703125,-496.699951171875
270,-669.5199584960938,127.80494689941406,9.356764793395996,176.7117919921875,-669.52001953125,-662.5,104.30152893066406,-928.6400146484375,-861.3999633789062,-801.0,-728.75,-662.5,-602.75,-549.9000244140625,-529.0001220703125,-496.699951171875
315,-681.1400146484375,127.7794418334961,9.602898597717285,176.65692138671875,-681.1400146484375,-671.5,99.55330657958984,-928.6400146484375,-866.1499633789062,-828.4000244140625,-735.5,-671.5,-613.75,-559.9000244140625,-549.9500122070312,-533.9199829101562
360,-690.2799682617188,127.7549057006836,9.868021965026855,176.6013946533203,-690.280029296875,-681.5,101.26777648925781,-934.52001953125,-888.2999877929688,-832.5,-737.0,-681.5,-617.5,-567.4000244140625,-553.800048828125,-533.9199829101562
405,-698.7999877929688,127.72880554199219,10.101541519165039,176.54588317871094,-698.7999877929688,-685.0,97.59426879882812,-934.52001953125,-888.2999877929688,-832.5,-745.75,-685.0,-645.5,-582.7000122070312,-557.6000366210938,-533.9199829101562
450,-708.4599609375,127.70327758789062,10.333232879638672,176.49107869466147,-708.4600219726562,-689.0,96.70112609863281,-934.52001953125,-888.2999877929688,-849.0999755859375,-762.0,-689.0,-652.25,-592.1000366210938,-572.4500732421875,-548.6199340820312
