step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
30,-118.1199951171875,31.957408905029297,2.2566299438476562,44.193066914876304,-118.12000274658203,-113.5,27.621469497680664,-176.1199951171875,-166.3000030517578,-158.0,-132.0,-113.5,-99.75,-85.70000457763672,-72.95000457763672,-67.91998291015625
60,-133.16000366210938,31.92495346069336,2.5537109375,44.12394332885742,-133.16000366210938,-130.5,24.250656127929688,-178.0800018310547,-174.0500030517578,-166.1999969482422,-150.25,-130.5,-115.75,-104.0,-97.95000457763672,-91.8399658203125
90,-141.52000427246094,31.894710540771484,2.7964119911193848,44.06059900919596,-141.52000427246094,-142.0,24.280231475830078,-190.1800079345703,-178.1999969482422,-172.1999969482422,-158.0,-142.0,-122.0,-108.0,-102.0,-96.95999145507812
120,-147.47999572753906,31.86651611328125,2.994720458984375,44.002630869547524,-147.47999572753906,-148.0,23.233802795410156,-199.13999938964844,-184.1999969482422,-176.1999969482422,-162.0,-148.0,-131.75,-119.80000305175781,-111.95000457763672,-101.93998718261719
150,-150.72000122070312,31.841482162475586,3.1669726371765137,43.95081583658854,-150.72000122070312,-149.5,21.874221801757812,-199.13999938964844,-188.10000610351562,-178.0,-164.0,-149.5,-134.75,-121.9000015258789,-117.85001373291016,-113.97999572753906
180,-155.6199951171875,31.810346603393555,3.3476805686950684,43.88939539591471,-155.6199951171875,-153.5,21.636442184448242,-199.13999938964844,-194.0500030517578,-184.39999389648438,-169.25,-153.5,-140.0,-130.89999389648438,-121.90000915527344,-114.97999572753906
210,-158.59999084472656,31.7868709564209,3.512899398803711,43.8352165222168,-158.60000610351562,-157.0,21.39813232421875,-206.1999969482422,-195.0500030517578,-188.0,-170.5,-157.0,-146.0,-131.89999389648438,-129.90000915527344,-117.93998718261719
240,-160.239990234375,31.761260986328125,3.66465425491333,43.78134028116862,-160.24000549316406,-158.0,20.683868408203125,-206.1999969482422,-195.0500030517578,-188.0,-172.5,-158.0,-148.0,-135.0,-130.0,-120.97999572753906
270,-163.3000030517578,31.731300354003906,3.7903270721435547,43.726399739583336,-163.3000030517578,-161.5,22.33002471923828,-216.1999969482422,-199.14999389648438,-188.1999969482422,-178.0,-161.5,-150.0,-135.0,-130.0,-120.97999572753906
300,-165.09999084472656,31.69830322265625,3.9218966960906982,43.667640686035156,-165.10000610351562,-162.0,23.643815994262695,-226.24000549316406,-204.10000610351562,-194.10000610351562,-178.0,-162.0,-150.75,-135.0,-130.95001220703125,-123.93998718261719
330,-166.55999755859375,31.668745040893555,4.049384117126465,43.61106872558594,-166.55999755859375,-163.5,23.781639099121094,-226.24000549316406,-206.5,-195.39999389648438,-178.5,-163.5,-151.0,-137.70001220703125,-131.0,-129.97999572753906
360,-167.739990234375,31.638463973999023,4.175289630889893,43.55158233642578,-167.74000549316406,-164.0,23.282020568847656,-226.24000549316406,-206.5,-196.3000030517578,-180.5,-164.0,-152.0,-141.8000030517578,-134.85000610351562,-130.0
390,-169.27999877929688,31.611526489257812,4.277702331542969,43.50046920776367,-169.27999877929688,-164.0,23.162071228027344,-226.24000549316406,-206.5,-199.10000610351562,-184.0,-164.0,-154.0,-142.0,-135.0,-130.97999572753906
420,-172.739990234375,31.57867431640625,4.389095306396484,43.4386240641276,-172.74000549316406,-169.5,22.190366744995117,-226.24000549316406,-208.39999389648438,-200.1999969482422,-186.5,-169.5,-157.75,-148.0,-142.95001220703125,-136.95999145507812
