step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
45,-259.2200012207031,63.844390869140625,5.053199768066406,88.25172424316406,-259.2200012207031,-259.5,46.69016647338867,-345.94000244140625,-340.04998779296875,-317.3999938964844,-286.5,-259.5,-225.75,-203.89999389648438,-185.0,-174.91998291015625
90,-288.2599792480469,63.71614074707031,6.010760307312012,87.98738352457683,-288.260009765625,-282.0,51.10844039916992,-401.29998779296875,-386.20001220703125,-353.20001220703125,-321.0,-282.0,-251.0,-228.70001220703125,-209.0,-192.8399658203125
135,-308.8800048828125,63.60973358154297,6.754789352416992,87.7611567179362,-308.8800048828125,-304.5,49.76831817626953,-422.05999755859375,-401.45001220703125,-383.1000061035156,-337.0,-304.5,-270.75,-248.8000030517578,-243.45004272460938,-229.7799530029297
180,-316.29998779296875,63.50617599487305,7.356467247009277,87.54642486572266,-316.29998779296875,-312.0,46.18235397338867,-422.05999755859375,-402.3999938964844,-384.20001220703125,-340.0,-312.0,-281.75,-263.8999938964844,-249.95001220703125,-243.7799530029297
225,-329.3999938964844,63.41632080078125,7.873284339904785,87.3510004679362,-329.3999938964844,-324.5,46.10444641113281,-425.4200134277344,-416.29998779296875,-396.5,-353.5,-324.5,-301.0,-273.8999938964844,-264.95001220703125,-249.97999572753906
270,-334.6199951171875,63.31147003173828,8.346319198608398,87.14989980061848,-334.6199951171875,-327.5,45.789031982421875,-439.1400146484375,-422.0,-402.20001220703125,-365.25,-327.5,-303.0,-282.0,-274.0,-265.97998046875
315,-341.53997802734375,63.20722961425781,8.78332805633545,86.94555409749348,-341.5400085449219,-332.5,45.05561447143555,-439.1400146484375,-422.0,-404.3999938964844,-371.25,-332.5,-309.75,-283.0,-276.8500061035156,-269.89996337890625
360,-346.29998779296875,63.11082077026367,9.203974723815918,86.74852244059245,-346.29998779296875,-339.0,44.88529586791992,-439.1400146484375,-422.0,-408.20001220703125,-376.75,-339.0,-312.0,-288.8999938964844,-280.6500244140625,-269.89996337890625
405,-352.0,62.999839782714844,9.601497650146484,86.54104359944661,-352.0,-344.5,45.8203010559082,-446.3399963378906,-425.6999816894531,-412.3999938964844,-387.0,-344.5,-317.75,-296.6000061035156,-282.0,-274.0
450,-357.1999816894531,62.88894271850586,9.931061744689941,86.34181467692058,-357.20001220703125,-354.0,47.67284393310547,-462.0199890136719,-439.20001220703125,-422.0,-396.0,-354.0,-322.5,-298.79998779296875,-282.95001220703125,-274.0
495,-363.97998046875,62.78143310546875,10.282445907592773,86.1376215616862,-363.9800109863281,-364.5,48.06058120727539,-463.260009765625,-443.1499938964844,-422.1000061035156,-399.25,-364.5,-327.0,-304.79998779296875,-287.9000244140625,-281.97998046875
540,-368.3599853515625,62.64817428588867,10.587576866149902,85.91678619384766,-368.3599853515625,-366.5,50.89292907714844,-476.58001708984375,-458.20001220703125,-425.5,-401.25,-366.5,-332.0,-305.70001220703125,-287.9000244140625,-281.97998046875
585,-375.97998046875,62.5161247253418,10.88111686706543,85.69214121500652,-375.9800109863281,-368.5,52.92238998413086,-505.4599914550781,-463.6499938964844,-443.29998779296875,-407.25,-368.5,-339.75,-306.8999938964844,-291.8500061035156,-284.91998291015625
630,-380.2799987792969,62.37445068359375,11.171451568603516,85.45924631754558,-380.2799987792969,-374.5,51.4725341796875,-505.4599914550781,-463.6499938964844,-443.29998779296875,-408.5,-374.5,-342.75,-322.79998779296875,-302.70001220703125,-285.97998046875
675,-383.8800048828125,62.23345947265625,11.464677810668945,85.22332000732422,-383.8800048828125,-378.5,51.631439208984375,-505.4599914550781,-464.6000061035156,-448.29998779296875,-412.25,-378.5,-343.75,-323.70001220703125,-306.95001220703125,-288.91998291015625
720,-388.1199951171875,62.08636474609375,11.728713989257812,84.9817123413086,-388.1199951171875,-382.5,50.74372482299805,-506.44000244140625,-476.79998779296875,-451.6999816894531,-416.0,-382.5,-356.75,-325.0,-306.95001220703125,-296.8399658203125
765,-391.7200012207031,61.92090606689453,11.983331680297852,84.72399139404297,-391.7200012207031,-391.5,51.425880432128906,-506.44000244140625,-492.1000061035156,-458.3999938964844,-422.0,-391.5,-360.75,-330.4000244140625,-306.95001220703125,-296.8399658203125
810,-396.8800048828125,61.7456169128418,12.256872177124023,84.44432067871094,-396.8800048828125,-398.0,49.80005645751953,-506.44000244140625,-492.1000061035156,-462.1000061035156,-423.25,-398.0,-365.0,-341.5,-318.9000244140625,-297.0
