runtime, mean, median, std, 2%, 5%, 10%, 25%, 50%, 75%, 90%, 95%, 98%
100,-74.0,-71.0,11.3754120804479,-90.82,-90.55,-90.1,-84.75,-71.0,-65.75,-59.9,-59.45,-59.18
200,-82.8,-83.5,10.897706180660222,-98.64,-98.1,-97.2,-90.75,-83.5,-72.25,-71.5,-69.25,-67.9
300,-91.6,-94.0,11.560276813294742,-107.46,-106.65,-105.3,-98.5,-94.0,-84.25,-73.0,-73.0,-73.0
400,-106.6,-106.5,12.451505933018705,-125.0,-125.0,-125.0,-113.75,-106.5,-97.5,-94.80000000000001,-89.4,-86.16
500,-117.6,-114.5,10.60377291344925,-132.82,-132.55,-132.1,-125.0,-114.5,-113.25,-106.9,-101.95000000000002,-98.97999999999999
600,-125.6,-129.0,8.834025130143111,-135.46,-134.65,-133.3,-132.75,-129.0,-117.5,-113.6,-111.80000000000001,-110.72
700,-131.6,-129.0,12.650691680694775,-159.04,-153.1,-143.2,-135.0,-129.0,-124.25,-122.10000000000001,-118.05000000000001,-115.62
800,-140.4,-140.0,14.71189994528239,-162.28,-161.2,-159.4,-153.75,-140.0,-125.5,-123.9,-123.45,-123.18
900,-148.0,-151.0,13.557285864065861,-167.92,-166.3,-163.6,-156.75,-151.0,-136.5,-130.5,-128.25,-126.9
1000,-159.8,-159.5,13.407460609675496,-179.46,-178.65,-177.3,-167.75,-159.5,-154.0,-138.9,-138.45,-138.18
1100,-165.8,-167.0,11.88949115816148,-182.74,-180.85,-177.7,-174.5,-167.0,-158.5,-151.9,-146.95000000000002,-143.98
1200,-169.0,-168.0,12.116104984688768,-186.46,-185.65,-184.3,-179.0,-168.0,-163.5,-152.5,-150.25,-148.9
1300,-171.6,-170.0,11.119352499134111,-186.82,-186.55,-186.1,-181.0,-170.0,-165.0,-156.7,-155.35,-154.54
1400,-180.2,-180.5,12.544321424453377,-197.1,-195.75,-193.5,-191.5,-180.5,-171.25,-167.70000000000002,-161.85000000000002,-158.34
1500,-184.4,-183.5,15.232859219463691,-213.58,-208.45,-199.9,-193.0,-183.5,-173.5,-169.2,-165.60000000000002,-163.44
1600,-187.0,-186.5,14.724129855444769,-213.76,-208.9,-200.8,-196.25,-186.5,-176.5,-172.8,-167.4,-164.16
1700,-189.0,-187.5,13.311649033834989,-213.94,-209.35,-201.7,-197.5,-187.5,-180.0,-173.6,-171.8,-170.72
1800,-190.2,-189.5,14.218298069740976,-217.58,-212.45,-203.9,-197.5,-189.5,-180.5,-173.6,-171.8,-170.72
1900,-191.8,-189.5,13.287588193498472,-217.58,-212.45,-203.9,-199.0,-189.5,-182.0,-177.6,-175.8,-174.72
2000,-192.4,-189.5,13.358143583597236,-217.76,-212.9,-204.8,-201.25,-189.5,-182.0,-179.4,-176.70000000000002,-175.07999999999998
