device,problem,dim,type_instance,instances_req,instances_used,restarts,budget,M,lambda,kernel,advantage,epsilon_svgd,gamma,no_interact,no_repulsion,decay,decay_start_ratio,decay_min_factor,repeats,time_sec_avg,time_sec_min,time_sec_max
cpu,QUBO,64,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.4037616883336643,1.290643763000844,1.4979811039993365
cpu,QUBO,64,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,8.884745096000794,8.608215375999862,9.100929344000178
cuda:0,QUBO,64,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.9971858309982053,1.955309810997278,2.069899587000691
cuda:0,QUBO,64,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.3131729106668595,2.2887307290002354,2.337222993999603
cpu,QUBO,64,5,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.3986508696665017,1.3944704569985333,1.406442233001144
cpu,QUBO,64,5,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,9.166863300331897,8.452622515000257,9.577072487998521
cuda:0,QUBO,64,5,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.0511996436677387,2.0006316469989542,2.1065983140033495
cuda:0,QUBO,64,5,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.417588872667693,2.3711404310015496,2.470016940002097
cpu,QUBO,128,0,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.3951365106659068,1.2581376879970776,1.5133685490000062
cpu,QUBO,128,0,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,25.653846643667446,25.012488914999267,26.228169574002095
cuda:0,QUBO,128,0,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.9578476716657558,1.9253869009990012,2.005793669999548
cuda:0,QUBO,128,0,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.355306590667169,3.305561007000506,3.4070311229988874
cpu,QUBO,128,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.3204892583356316,1.300206028001412,1.3479895110031066
cpu,QUBO,128,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,25.572779827001796,25.07269859400185,25.912711741002568
cuda:0,QUBO,128,1,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.9857954446658066,1.960715140998218,2.0058842149992415
cuda:0,QUBO,128,1,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.304983073000282,3.3005372879997594,3.3079620429998613
cpu,QUBO,128,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.2842426013351844,1.253006679002283,1.3082811250023951
cpu,QUBO,128,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,24.884602683665435,24.47188054399885,25.60047927499909
cuda:0,QUBO,128,2,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.02091879700068,1.9907490280020284,2.0442653479985893
cuda:0,QUBO,128,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.3515943853332524,3.316365618000418,3.3735282859997824
cpu,QUBO,128,3,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.4782591643318785,1.2871472739971068,1.7878773500015086
cpu,QUBO,128,3,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,25.630023175999668,25.400364110999362,25.825368058001914
cuda:0,QUBO,128,3,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.98134095499942,1.9365603279984498,2.038270652999927
cuda:0,QUBO,128,3,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.437020854333241,3.427467028999672,3.4421950440009823
cpu,QUBO,128,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.5219698790000014,1.349676230998739,1.7405243460016209
cpu,QUBO,128,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,25.75692078933207,24.850301243001013,26.600151774997357
cuda:0,QUBO,128,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.1277668606671796,2.0579009970024345,2.242147353001201
cuda:0,QUBO,128,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.39965983699949,3.3292024830006994,3.4642158039969217
cpu,QUBO,128,5,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.4017321276660368,1.380469281997648,1.4227568370006338
cpu,QUBO,128,5,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,25.540432802999323,24.760286470998835,27.091035387999
cuda:0,QUBO,128,5,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.984522661333661,1.955502617998718,2.036545851999108
cuda:0,QUBO,128,5,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,3.297632266998941,3.281828962997679,3.3185090289989603
cpu,QUBO,256,0,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.026311583331941,1.8992623689991888,2.2326589429976593
cpu,QUBO,256,0,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,75.5891923666677,74.14313399200182,77.34795394100001
cuda:0,QUBO,256,0,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.1818663546655443,2.1228613120001683,2.2528257309968467
