runtime,best_fitness,avg_hamming,avg_kl
20,-214.13999938964844,64.79000091552734,0.2285802811384201
40,-247.17999267578125,64.0999984741211,0.3835223317146301
60,-284.739990234375,64.5199966430664,0.5324742197990417
80,-328.0799865722656,63.64999771118164,0.6762366890907288
100,-365.8399963378906,64.06999969482422,0.7893837690353394
120,-401.6199951171875,63.84000015258789,0.8710172772407532
140,-429.0999755859375,63.959999084472656,0.9319735765457153
160,-457.6999816894531,63.21999740600586,0.9911530017852783
180,-481.7200012207031,63.87999725341797,1.0426934957504272
200,-498.3199768066406,63.84000015258789,1.08150053024292
220,-517.0199584960938,63.65999984741211,1.116711139678955
240,-533.0199584960938,63.709999084472656,1.153577446937561
260,-547.2999877929688,63.63999938964844,1.1881271600723267
280,-562.3200073242188,63.47999954223633,1.2183469533920288
300,-573.1199951171875,63.529998779296875,1.2463754415512085
320,-584.1199951171875,64.37999725341797,1.274093747138977
340,-593.1199951171875,63.849998474121094,1.3018087148666382
360,-601.219970703125,63.849998474121094,1.3275821208953857
380,-606.5799560546875,64.19999694824219,1.3492540121078491
400,-615.0399780273438,64.27999877929688,1.3728280067443848
420,-620.7799682617188,63.599998474121094,1.3897069692611694
440,-627.3999633789062,63.869998931884766,1.4083504676818848
460,-632.5399780273438,64.22999572753906,1.4285792112350464
480,-639.3200073242188,63.529998779296875,1.4433122873306274
500,-645.5999755859375,63.63999938964844,1.4604954719543457
520,-651.3999633789062,63.5,1.4784060716629028
540,-656.5399780273438,63.6099967956543,1.4937447309494019
560,-660.760009765625,63.91999816894531,1.510227918624878
580,-664.2000122070312,63.93000030517578,1.5255383253097534
600,-667.5799560546875,63.709999084472656,1.5362423658370972
620,-670.7999877929688,63.91999816894531,1.5499272346496582
640,-674.7799682617188,64.30999755859375,1.564979076385498
660,-677.9400024414062,64.29000091552734,1.5781066417694092
680,-683.6400146484375,64.04000091552734,1.5890882015228271
700,-686.8800048828125,63.63999938964844,1.6004548072814941
720,-690.0999755859375,64.54999542236328,1.6127073764801025
740,-694.0799560546875,63.78999710083008,1.623995304107666
760,-697.3599853515625,64.22999572753906,1.638106346130371
780,-698.719970703125,64.40999603271484,1.6486907005310059
800,-702.1199951171875,63.89999771118164,1.6580097675323486
820,-706.239990234375,64.29000091552734,1.669148325920105
840,-708.5399780273438,64.73999786376953,1.6817065477371216
860,-710.260009765625,63.98999786376953,1.6923067569732666
880,-713.3599853515625,63.66999816894531,1.7031828165054321
900,-716.719970703125,64.13999938964844,1.71488356590271
920,-720.5799560546875,63.93000030517578,1.7251588106155396
940,-723.5399780273438,64.22999572753906,1.7359877824783325
