runtime,best_fitness,avg_hamming,avg_kl
16,-53.5,31.76999855041504,0.022307569161057472
32,-60.52000045776367,31.939998626708984,0.04539085179567337
48,-65.08000183105469,32.029998779296875,0.06746935099363327
64,-68.95999908447266,32.02000045776367,0.08805176615715027
80,-71.69999694824219,31.689998626708984,0.11035997420549393
96,-73.5,32.18000030517578,0.13101597130298615
112,-75.79999542236328,31.899999618530273,0.15178550779819489
128,-77.93999481201172,32.029998779296875,0.1734970360994339
144,-82.41999816894531,32.439998626708984,0.19842158257961273
160,-86.0999984741211,31.09000015258789,0.2236412614583969
176,-88.36000061035156,32.189998626708984,0.247700035572052
192,-91.41999816894531,31.09000015258789,0.2730390131473541
208,-92.73999786376953,32.189998626708984,0.29671597480773926
224,-94.97999572753906,31.799999237060547,0.3226831257343292
240,-97.69999694824219,31.579999923706055,0.3482593894004822
256,-99.22000122070312,31.809999465942383,0.3725493848323822
272,-104.43999481201172,31.26999855041504,0.4019070863723755
288,-106.5999984741211,32.119998931884766,0.42669403553009033
304,-110.31999969482422,31.510000228881836,0.45082467794418335
320,-113.19999694824219,32.06999969482422,0.47617262601852417
336,-115.79999542236328,31.729999542236328,0.4990944564342499
352,-118.5199966430664,32.16999816894531,0.521458089351654
368,-121.95999908447266,32.27000045776367,0.5481847524642944
384,-125.86000061035156,32.16999816894531,0.5690634250640869
400,-128.95999145507812,31.709999084472656,0.5899577736854553
416,-132.6199951171875,30.989999771118164,0.6142027378082275
432,-134.66000366210938,31.599998474121094,0.6382694840431213
448,-136.27999877929688,32.14999771118164,0.6629840731620789
464,-138.17999267578125,31.76999855041504,0.6859318614006042
480,-140.39999389648438,32.36000061035156,0.7099776864051819
496,-142.0800018310547,31.90999984741211,0.733440637588501
512,-144.52000427246094,32.04999923706055,0.7516279220581055
528,-146.09999084472656,31.899999618530273,0.770163357257843
544,-148.36000061035156,32.119998931884766,0.7890452146530151
560,-149.8000030517578,32.0,0.8081241250038147
576,-151.94000244140625,32.040000915527344,0.828892171382904
592,-153.4199981689453,31.85999870300293,0.8464930653572083
608,-154.17999267578125,31.189998626708984,0.8633731007575989
624,-155.97999572753906,31.76999855041504,0.8817256093025208
640,-157.5,32.30999755859375,0.9003254771232605
656,-159.4199981689453,31.809999465942383,0.9165085554122925
672,-160.86000061035156,32.040000915527344,0.9351487755775452
688,-161.95999145507812,32.130001068115234,0.9520460367202759
704,-162.67999267578125,31.979999542236328,0.9690201878547668
720,-163.55999755859375,31.25,0.983924925327301
736,-164.87998962402344,31.869998931884766,0.9988967776298523
752,-166.3199920654297,32.099998474121094,1.0129050016403198
768,-167.1199951171875,31.469999313354492,1.026613712310791
784,-167.6999969482422,31.719999313354492,1.042916178703308
800,-168.72000122070312,31.729999542236328,1.0557100772857666
816,-169.9199981689453,31.6299991607666,1.0699645280838013
832,-170.5,31.85999870300293,1.083145260810852
848,-171.05999755859375,31.60999870300293,1.0979652404785156
864,-172.36000061035156,31.529998779296875,1.1107991933822632
880,-173.37998962402344,31.76999855041504,1.1232235431671143
896,-174.1199951171875,31.899999618530273,1.1371755599975586
912,-174.33999633789062,31.739999771118164,1.1482208967208862
928,-175.05999755859375,31.920000076293945,1.16181480884552
944,-175.36000061035156,31.90999984741211,1.1736787557601929
960,-175.97999572753906,31.739999771118164,1.1847082376480103
976,-176.05999755859375,32.16999816894531,1.1968967914581299
992,-176.44000244140625,31.459999084472656,1.208737850189209
1008,-176.72000122070312,31.849998474121094,1.2201721668243408
1024,-177.17999267578125,32.279998779296875,1.2314081192016602
1040,-177.86000061035156,31.599998474121094,1.2422171831130981
1056,-178.4199981689453,31.92999839782715,1.2525614500045776
1072,-178.9199981689453,31.8799991607666,1.2645864486694336
1088,-179.47999572753906,31.829999923706055,1.2765085697174072
1104,-179.87998962402344,31.389999389648438,1.2854270935058594
1120,-180.1999969482422,31.81999969482422,1.2973133325576782
1136,-180.37998962402344,31.549999237060547,1.30829918384552
1152,-180.8000030517578,32.0099983215332,1.3188869953155518
1168,-181.17999267578125,31.60999870300293,1.3281255960464478
1184,-181.5,31.84000015258789,1.3383697271347046
1200,-181.94000244140625,32.09000015258789,1.3491461277008057
1216,-182.1599884033203,31.94999885559082,1.3587276935577393
1232,-182.5,31.849998474121094,1.3685952425003052
1248,-182.9199981689453,32.0099983215332,1.3782519102096558
1264,-183.51998901367188,31.959999084472656,1.3886761665344238
1280,-183.83999633789062,32.05999755859375,1.3964924812316895
1296,-184.17999267578125,31.529998779296875,1.405220627784729
1312,-184.5,31.90999984741211,1.414062261581421
1328,-184.739990234375,32.119998931884766,1.423991084098816
1344,-184.87998962402344,31.559999465942383,1.4330474138259888
1360,-185.0399932861328,32.20000076293945,1.4427474737167358
1376,-185.17999267578125,31.899999618530273,1.4525238275527954
1392,-185.37998962402344,31.869998931884766,1.4603326320648193
1408,-185.63999938964844,31.639999389648438,1.4678596258163452
1424,-185.6999969482422,31.579999923706055,1.4750428199768066
1440,-185.87998962402344,31.619998931884766,1.4838674068450928
1456,-186.1199951171875,31.59000015258789,1.4911354780197144
1472,-186.37998962402344,31.939998626708984,1.4980477094650269
1488,-186.6999969482422,31.599998474121094,1.506738543510437
1504,-186.94000244140625,32.02000045776367,1.5143682956695557
1520,-187.239990234375,31.779998779296875,1.5209816694259644
1536,-187.3199920654297,32.0,1.528064250946045
1552,-187.37998962402344,32.130001068115234,1.534822940826416
1568,-187.67999267578125,32.029998779296875,1.5436522960662842
1584,-187.75999450683594,31.709999084472656,1.5494680404663086
1600,-187.95999145507812,32.04999923706055,1.5563803911209106
1616,-188.0800018310547,31.599998474121094,1.5630230903625488
1632,-188.1999969482422,31.849998474121094,1.5703953504562378
1648,-188.45999145507812,31.649999618530273,1.57646906375885
1664,-188.5800018310547,31.78999900817871,1.5824052095413208
1680,-188.67999267578125,32.15999984741211,1.5890589952468872
1696,-188.8000030517578,31.920000076293945,1.595775842666626
1712,-188.89999389648438,32.14999771118164,1.6026806831359863
1728,-189.13999938964844,31.67999839782715,1.60832941532135
1744,-189.239990234375,31.709999084472656,1.6142572164535522
1760,-189.27999877929688,31.709999084472656,1.6212878227233887
1776,-189.39999389648438,32.04999923706055,1.6277222633361816
1792,-189.63999938964844,31.849998474121094,1.633396863937378
1808,-189.739990234375,32.20000076293945,1.6407170295715332
1824,-189.95999145507812,32.029998779296875,1.6460031270980835
1840,-190.1199951171875,31.849998474121094,1.6518304347991943
1856,-190.3199920654297,32.25,1.6581995487213135
1872,-190.33999633789062,31.78999900817871,1.6637905836105347
1888,-190.39999389648438,31.94999885559082,1.6695584058761597
1904,-190.4199981689453,31.65999984741211,1.675517201423645
1920,-190.47999572753906,31.90999984741211,1.6813852787017822
1936,-190.72000122070312,31.889999389648438,1.6867079734802246
1952,-190.97999572753906,31.719999313354492,1.6926220655441284
1968,-191.1199951171875,32.21999740600586,1.6989396810531616
1984,-191.239990234375,31.889999389648438,1.7041147947311401
2000,-191.3000030517578,32.11000061035156,1.7094908952713013
2016,-191.39999389648438,31.969999313354492,1.7149683237075806
2032,-191.51998901367188,32.18000030517578,1.721699595451355
2048,-191.5399932861328,32.119998931884766,1.7269420623779297
