nk_n,nk_k,M,fitness
64,1,1,0.7521345615386963
64,1,1,0.7521345615386963
64,1,1,0.7521345615386963
64,1,1,0.751440167427063
64,1,1,0.7483154535293579
64,1,1,0.7521345615386963
64,1,1,0.7521345615386963
64,1,1,0.751440167427063
64,1,1,0.7521345615386963
64,1,1,0.7521345615386963
64,1,1,0.7322834730148315
64,1,1,0.7322834730148315
64,1,1,0.7322834730148315
64,1,1,0.7322834730148315
64,1,1,0.7322834730148315
64,1,1,0.7322834730148315
64,1,1,0.724035382270813
64,1,1,0.7322834730148315
64,1,1,0.7322834730148315
64,1,1,0.7322834730148315
64,1,1,0.7474179267883301
64,1,1,0.7473909258842468
64,1,1,0.7467129230499268
64,1,1,0.7467129230499268
64,1,1,0.7451828718185425
64,1,1,0.7448502779006958
64,1,1,0.7455553412437439
64,1,1,0.7474179267883301
64,1,1,0.7474179267883301
64,1,1,0.7457766532897949
64,1,1,0.6714320182800293
64,1,1,0.675894021987915
64,1,1,0.6735104322433472
64,1,1,0.6751645803451538
64,1,1,0.6702835559844971
64,1,1,0.6725713014602661
64,1,1,0.6735892295837402
64,1,1,0.6734704971313477
64,1,1,0.6751645803451538
64,1,1,0.6709288358688354
64,1,1,0.6838083863258362
64,1,1,0.6797836422920227
64,1,1,0.685416579246521
64,1,1,0.6765534281730652
64,1,1,0.6788915991783142
64,1,1,0.680499792098999
64,1,1,0.6742860674858093
64,1,1,0.6838083863258362
64,1,1,0.685416579246521
64,1,1,0.6838083863258362
64,1,1,0.7613165378570557
64,1,1,0.7584580183029175
64,1,1,0.7613165378570557
64,1,1,0.7613165378570557
64,1,1,0.7613165378570557
64,1,1,0.7613165378570557
64,1,1,0.7613165378570557
64,1,1,0.7538237571716309
64,1,1,0.7613165378570557
64,1,1,0.756633996963501
64,1,1,0.6809793710708618
64,1,1,0.6795921325683594
64,1,1,0.6788154244422913
64,1,1,0.6794968843460083
64,1,1,0.6824496388435364
64,1,1,0.6819127202033997
64,1,1,0.6791645288467407
64,1,1,0.6824496388435364
64,1,1,0.6826815009117126
64,1,1,0.6845345497131348
64,1,1,0.679358184337616
64,1,1,0.6800311207771301
64,1,1,0.6854902505874634
64,1,1,0.6840835809707642
64,1,1,0.6814378499984741
64,1,1,0.6864533424377441
64,1,1,0.6809942126274109
64,1,1,0.6814378499984741
64,1,1,0.6864533424377441
64,1,1,0.6854902505874634
64,1,1,0.686856746673584
64,1,1,0.6911107301712036
64,1,1,0.6883227825164795
64,1,1,0.6953628063201904
64,1,1,0.6953628063201904
64,1,1,0.6953628063201904
64,1,1,0.6953628063201904
64,1,1,0.6953628063201904
64,1,1,0.6896600723266602
64,1,1,0.6904835104942322
64,1,1,0.703917920589447
64,1,1,0.7070937156677246
64,1,1,0.6985774636268616
64,1,1,0.7067580223083496
64,1,1,0.7067580223083496
64,1,1,0.7070937156677246
64,1,1,0.703582227230072
64,1,1,0.7070937156677246
64,1,1,0.7067580223083496
64,1,1,0.7070937156677246
64,1,2,0.7521345615386963
64,1,2,0.7521345615386963
64,1,2,0.7521345615386963
64,1,2,0.7515277862548828
64,1,2,0.7521345615386963
64,1,2,0.751440167427063
64,1,2,0.7521345615386963
64,1,2,0.7521345615386963
64,1,2,0.7521345615386963
64,1,2,0.7521345615386963
64,1,2,0.7322834730148315
64,1,2,0.7322834730148315
64,1,2,0.7322834730148315
64,1,2,0.7322834730148315
64,1,2,0.7322834730148315
64,1,2,0.7322834730148315
64,1,2,0.7322834730148315
64,1,2,0.7322834730148315
64,1,2,0.7322834730148315
64,1,2,0.7322834730148315
64,1,2,0.7474179267883301
64,1,2,0.7474179267883301
64,1,2,0.7467129230499268
64,1,2,0.7474179267883301
64,1,2,0.7461674213409424
64,1,2,0.746284008026123
64,1,2,0.746539831161499
64,1,2,0.7474179267883301
64,1,2,0.7474179267883301
64,1,2,0.7474179267883301
64,1,2,0.6755207180976868
64,1,2,0.6735892295837402
64,1,2,0.6751645803451538
64,1,2,0.674265444278717
64,1,2,0.6735892295837402
64,1,2,0.6734704971313477
64,1,2,0.6735892295837402
64,1,2,0.6751645803451538
64,1,2,0.6757414937019348
64,1,2,0.6734704971313477
64,1,2,0.6838083863258362
64,1,2,0.6838083863258362
64,1,2,0.685416579246521
64,1,2,0.6838083863258362
64,1,2,0.6838083863258362
64,1,2,0.685416579246521
64,1,2,0.6774385571479797
64,1,2,0.685416579246521
64,1,2,0.680499792098999
64,1,2,0.6788915991783142
64,1,2,0.7613165378570557
64,1,2,0.7584580183029175
64,1,2,0.7613165378570557
64,1,2,0.7613165378570557
64,1,2,0.7613165378570557
64,1,2,0.7613165378570557
64,1,2,0.7613165378570557
64,1,2,0.7584580183029175
64,1,2,0.7613165378570557
64,1,2,0.7613165378570557
64,1,2,0.6809793710708618
64,1,2,0.6795921325683594
64,1,2,0.6824496388435364
64,1,2,0.6794968843460083
64,1,2,0.6785942316055298
64,1,2,0.6845345497131348
64,1,2,0.6824496388435364
64,1,2,0.6824496388435364
64,1,2,0.6776438355445862
64,1,2,0.6845345497131348
64,1,2,0.6840835809707642
64,1,2,0.6814378499984741
64,1,2,0.6824009418487549
64,1,2,0.6800456047058105
64,1,2,0.6841277480125427
64,1,2,0.6861661076545715
64,1,2,0.6807069778442383
64,1,2,0.6824009418487549
64,1,2,0.6824009418487549
64,1,2,0.6814378499984741
64,1,2,0.693912148475647
64,1,2,0.6911107301712036
64,1,2,0.6935627460479736
64,1,2,0.694332480430603
64,1,2,0.6953628063201904
64,1,2,0.6953628063201904
64,1,2,0.6953628063201904
64,1,2,0.6953628063201904
64,1,2,0.6939195394515991
64,1,2,0.6953628063201904
64,1,2,0.7070937156677246
64,1,2,0.7070937156677246
64,1,2,0.7067580223083496
64,1,2,0.7070937156677246
64,1,2,0.7070937156677246
64,1,2,0.7070937156677246
64,1,2,0.703917920589447
