step,best_fitness,avg_hamming,avg_l1,avg_entropy
105,-73.93999481201172,31.654312133789062,8.349848747253418,42.29032592773437
210,-80.93999481201172,31.3607177734375,11.024593353271484,40.63795547485351
315,-84.37999725341797,31.08570671081543,12.862495422363281,39.16653671264648
420,-89.07999420166016,30.78931427001953,14.281296730041504,37.76540705362956
525,-94.69999694824219,30.45894432067871,15.395378112792969,36.41048863728841
630,-98.27999877929688,30.143272399902344,16.320350646972656,35.133574676513675
735,-104.07999420166016,29.80133056640625,17.087343215942383,33.88481953938802
840,-109.37999725341797,29.431507110595703,17.71587371826172,32.65024108886719
945,-114.83999633789062,29.035335540771484,18.239501953125,31.42667554219564
1050,-119.5999984741211,28.580493927001953,18.610177993774414,30.219472376505532
1155,-124.18000030517578,28.165691375732422,18.943283081054688,29.06141929626465
1260,-131.36000061035156,27.743850708007812,19.203176498413086,27.949047470092772
1365,-136.97999572753906,27.332073211669922,19.424781799316406,26.852688217163085
1470,-142.22000122070312,26.948076248168945,19.60491180419922,25.82581507364909
1575,-146.8199920654297,26.51691246032715,19.702699661254883,24.805972162882487
1680,-150.27999877929688,26.12630844116211,19.782577514648438,23.849914677937825
1785,-153.05999755859375,25.717294692993164,19.825380325317383,22.895707829793295
1890,-157.13999938964844,25.32482147216797,19.840818405151367,21.99370231628418
1995,-161.01998901367188,24.94721794128418,19.845029830932617,21.126641591389973
2100,-164.0,24.601905822753906,19.848859786987305,20.282599894205728
2205,-167.16000366210938,24.256834030151367,19.824098587036133,19.48300043741862
2310,-170.66000366210938,23.930635452270508,19.802656173706055,18.70227597554525
2415,-173.66000366210938,23.618078231811523,19.76935386657715,17.962946701049805
2520,-176.45999145507812,23.341590881347656,19.744136810302734,17.26702626546224
2625,-178.05999755859375,23.028125762939453,19.666542053222656,16.586917877197266
2730,-180.13999938964844,22.73246192932129,19.589570999145508,15.928757794698079
2835,-181.9199981689453,22.465160369873047,19.514896392822266,15.326557858784993
2940,-183.33999633789062,22.203811645507812,19.447589874267578,14.72011464436849
3045,-185.1199951171875,21.957529067993164,19.38055992126465,14.130875905354818
