Problem,Dim (n),Type/K,Score (Interact),Score (No Interact),Gap (%)
QUBO,64,0,205.46,208.74,-1.57%
QUBO,64,1,151.08,154.56,-2.25%
QUBO,64,2,141.86,143.42,-1.09%
QUBO,64,3,423.88,432.52,-2.00%
QUBO,64,4,337.88,344.68,-1.97%
QUBO,64,5,317.10,320.04,-0.92%
QUBO,128,0,594.36,589.82,+0.77%
QUBO,128,1,452.22,455.42,-0.70%
QUBO,128,2,437.86,437.98,-0.03%
QUBO,128,3,1221.22,1216.16,+0.42%
QUBO,128,4,960.04,958.38,+0.17%
QUBO,128,5,942.36,917.40,+2.72%
QUBO,256,0,1668.88,1562.76,+6.79%
QUBO,256,1,1344.92,1253.96,+7.25%
QUBO,256,2,1272.50,1183.86,+7.49%
QUBO,256,3,3380.08,3153.24,+7.19%
QUBO,256,4,2704.64,2532.66,+6.79%
QUBO,256,5,2640.58,2422.90,+8.98%
NK,64,1,0.7122,0.7126,-0.06%
NK,64,2,0.7471,0.7491,-0.27%
NK,64,4,0.7609,0.7651,-0.55%
NK,64,8,0.7546,0.7544,+0.03%
NK,128,1,0.7120,0.7115,+0.06%
NK,128,2,0.7418,0.7398,+0.27%
NK,128,4,0.7683,0.7608,+0.99%
NK,128,8,0.7429,0.7342,+1.18%
NK,256,1,0.7092,0.7059,+0.47%
NK,256,2,0.7400,0.7314,+1.17%
NK,256,4,0.7585,0.7372,+2.90%
NK,256,8,0.7287,0.6972,+4.53%
