problem,N,K,M,mean,median,q1,q3,p2,p98
NK,256,2,1,0.709400,0.708010,0.701821,0.717508,0.692625,0.729730
NK,128,1,1,0.697183,0.699876,0.689825,0.707268,0.652744,0.725331
NK,256,1,1,0.692090,0.692624,0.682288,0.702314,0.668183,0.711555
NK,256,8,1,0.696821,0.697291,0.688155,0.703670,0.677899,0.719866
NK,128,8,1,0.700077,0.699788,0.690742,0.709107,0.678026,0.723730
NK,128,2,1,0.711798,0.711946,0.704151,0.720214,0.686203,0.733720
NK,128,4,1,0.716759,0.716954,0.705810,0.725365,0.687295,0.749695
NK,64,4,1,0.716319,0.717038,0.704508,0.731319,0.670929,0.754279
NK,64,1,1,0.700112,0.691486,0.670194,0.731442,0.654601,0.758515
NK,256,4,1,0.710557,0.710428,0.704123,0.719161,0.688590,0.729670
NK,64,2,1,0.720734,0.716989,0.701915,0.733757,0.674248,0.798721
NK,64,8,1,0.700309,0.698580,0.689839,0.713787,0.668972,0.734622
NK,256,2,2,0.725781,0.727107,0.719136,0.732469,0.709757,0.740731
NK,128,1,2,0.706206,0.707349,0.702026,0.714175,0.663870,0.732423
NK,256,1,2,0.702314,0.704365,0.692896,0.712330,0.679722,0.718896
NK,256,8,2,0.711262,0.711143,0.706002,0.716288,0.695425,0.728761
NK,128,8,2,0.716943,0.716950,0.710990,0.722302,0.698660,0.740897
NK,128,2,2,0.728408,0.729208,0.722548,0.734209,0.709884,0.745265
NK,128,4,2,0.739214,0.738861,0.730828,0.746174,0.715793,0.765960
NK,64,4,2,0.740420,0.741156,0.728435,0.749209,0.708118,0.772466
NK,64,1,2,0.708253,0.695363,0.678690,0.742641,0.667175,0.758515
NK,256,4,2,0.732234,0.731381,0.725582,0.739929,0.714649,0.751260
NK,64,2,2,0.735330,0.730984,0.713303,0.748349,0.685834,0.804550
NK,64,8,2,0.723299,0.722223,0.709596,0.735160,0.691792,0.759582
NK,256,2,3,0.732125,0.733439,0.726239,0.738908,0.712958,0.747669
NK,128,1,3,0.708673,0.710423,0.705416,0.716815,0.669334,0.732913
NK,256,1,3,0.705733,0.708324,0.694738,0.716006,0.685980,0.722585
NK,256,8,3,0.720580,0.720359,0.715323,0.724709,0.710069,0.732356
NK,128,8,3,0.727384,0.727112,0.721240,0.733025,0.713107,0.742495
NK,128,2,3,0.733744,0.734583,0.727868,0.740121,0.709639,0.749141
NK,128,4,3,0.751261,0.750263,0.741673,0.760186,0.729913,0.775938
NK,64,4,3,0.746343,0.746667,0.736218,0.754003,0.722191,0.777933
NK,64,1,3,0.710701,0.698726,0.682381,0.746713,0.673457,0.761317
NK,256,4,3,0.742662,0.743049,0.737503,0.747983,0.724988,0.759933
NK,64,2,3,0.741412,0.737881,0.720896,0.753648,0.700254,0.811855
NK,64,8,3,0.735471,0.735327,0.723794,0.746942,0.712068,0.760734
NK,256,2,4,0.734766,0.736023,0.729293,0.741769,0.716303,0.748379
NK,128,1,4,0.710099,0.711311,0.707133,0.719270,0.670128,0.733107
NK,256,1,4,0.707385,0.710107,0.696292,0.718005,0.687585,0.722344
NK,256,8,4,0.723925,0.723816,0.719542,0.728172,0.714122,0.735946
NK,128,8,4,0.732350,0.732249,0.726132,0.737812,0.713956,0.752489
NK,128,2,4,0.737159,0.738422,0.730944,0.743724,0.720776,0.751349
NK,128,4,4,0.755986,0.756959,0.747738,0.763470,0.738042,0.775468
NK,64,4,4,0.751517,0.751067,0.742303,0.760399,0.723722,0.776885
NK,64,1,4,0.711298,0.698726,0.682450,0.747418,0.673577,0.761317
NK,256,4,4,0.747231,0.746841,0.741008,0.753810,0.727416,0.766615
NK,64,2,4,0.743858,0.742770,0.722121,0.758019,0.696757,0.804430
NK,64,8,4,0.739879,0.740174,0.728830,0.748482,0.716499,0.764532
NK,256,2,5,0.737342,0.738272,0.732060,0.744518,0.721130,0.750046
NK,128,1,5,0.710914,0.711903,0.707894,0.720325,0.672165,0.733376
NK,256,1,5,0.708083,0.710264,0.696491,0.718041,0.690278,0.725510
NK,256,8,5,0.728235,0.728040,0.723889,0.732138,0.717559,0.741004
NK,128,8,5,0.739237,0.739868,0.733401,0.744363,0.722463,0.757132
NK,128,2,5,0.737779,0.739348,0.731719,0.743846,0.719370,0.754542
NK,128,4,5,0.759440,0.758218,0.750201,0.769124,0.735660,0.783156
