problem,n,type_instance,M,mean,median,q1,q3,p2,p98
QUBO,64,2,1,129.440002,130.500000,120.750000,139.000000,99.000000,157.020004
QUBO,128,5,1,830.780029,817.000000,779.000000,878.000000,718.179993,992.200012
QUBO,64,3,1,367.220001,363.500000,346.250000,387.000000,317.920013,439.059998
QUBO,256,1,1,1194.520020,1195.000000,1147.250000,1239.500000,1054.500000,1315.479980
QUBO,64,5,1,283.500000,277.000000,252.000000,310.000000,220.880005,362.320007
QUBO,64,4,1,305.980011,305.000000,286.750000,326.250000,251.759995,361.140015
QUBO,128,1,1,399.399994,397.000000,377.000000,417.500000,341.000000,461.140015
QUBO,128,3,1,1068.719971,1057.000000,1019.500000,1116.250000,909.919983,1227.160034
QUBO,256,4,1,2437.899902,2437.500000,2328.750000,2533.750000,2162.979980,2727.300049
QUBO,256,2,1,1149.660034,1143.000000,1112.000000,1190.500000,1027.719971,1300.040039
QUBO,256,5,1,2368.699951,2348.000000,2289.500000,2445.750000,2150.919922,2668.280029
QUBO,256,3,1,2998.300049,2980.500000,2912.750000,3074.000000,2711.679932,3335.020020
QUBO,128,0,1,517.679993,522.000000,494.750000,537.000000,453.940002,583.039978
QUBO,128,4,1,851.380005,852.000000,804.000000,903.250000,707.419983,983.119995
QUBO,64,1,1,133.440002,135.000000,123.000000,142.000000,103.980003,160.300003
QUBO,128,2,1,390.839996,387.000000,370.000000,411.000000,326.980011,453.079987
QUBO,256,0,1,1471.199951,1465.000000,1429.750000,1523.750000,1350.900024,1598.359985
QUBO,64,0,1,176.919998,180.000000,163.500000,188.250000,140.880005,213.020004
QUBO,64,2,2,134.339996,135.500000,127.000000,144.000000,106.879997,156.020004
QUBO,128,5,2,887.119995,883.000000,838.750000,930.500000,766.719971,1018.440002
QUBO,64,3,2,395.160004,398.000000,374.000000,414.000000,333.959991,441.320007
QUBO,256,1,2,1262.579956,1255.000000,1225.000000,1306.500000,1150.439941,1397.000000
QUBO,64,5,2,296.720001,288.500000,268.000000,316.500000,242.880005,388.079987
QUBO,64,4,2,319.459991,322.000000,299.500000,340.000000,261.920013,372.000000
QUBO,128,1,2,427.660004,427.000000,408.250000,450.250000,366.959991,485.000000
QUBO,128,3,2,1138.640015,1136.500000,1095.500000,1186.250000,1017.840027,1260.359985
QUBO,256,4,2,2558.219971,2550.500000,2467.000000,2661.750000,2363.699951,2813.020020
QUBO,256,2,2,1216.579956,1219.500000,1169.000000,1255.000000,1092.959961,1394.239990
QUBO,256,5,2,2527.860107,2538.000000,2428.750000,2598.250000,2282.739990,2808.280029
QUBO,256,3,2,3188.379883,3180.500000,3113.750000,3265.250000,2940.899902,3435.340088
QUBO,128,0,2,561.880005,564.500000,538.000000,585.250000,496.859985,619.080017
QUBO,128,4,2,907.539978,905.000000,857.750000,961.250000,768.820007,1046.359985
QUBO,64,1,2,143.160004,144.000000,136.000000,150.000000,114.919998,179.000000
QUBO,128,2,2,414.040009,411.500000,394.750000,429.500000,353.679993,477.040009
QUBO,256,0,2,1575.660034,1575.000000,1523.500000,1621.500000,1452.920044,1690.939941
QUBO,64,0,2,192.979996,194.500000,181.750000,201.250000,166.960007,224.000000
QUBO,64,2,3,136.440002,137.000000,128.750000,146.000000,111.959999,159.000000
QUBO,128,5,3,902.719971,903.500000,865.500000,947.000000,772.780029,1018.000000
QUBO,64,3,3,406.660004,409.500000,386.000000,422.500000,357.959991,469.119995
QUBO,256,1,3,1292.060059,1291.000000,1252.500000,1328.750000,1188.880005,1405.400024
QUBO,64,5,3,303.700012,303.000000,270.000000,326.000000,240.000000,388.040009
QUBO,64,4,3,319.480011,320.000000,301.500000,338.000000,273.920013,370.040009
QUBO,128,1,3,438.519989,435.000000,421.250000,461.250000,391.980011,479.079987
QUBO,128,3,3,1176.439941,1183.000000,1133.500000,1212.250000,1071.560059,1291.079956
QUBO,256,4,3,2641.540039,2638.000000,2554.750000,2727.250000,2388.659912,2875.280029
QUBO,256,2,3,1233.020020,1229.500000,1182.750000,1273.500000,1108.979980,1389.280029
QUBO,256,5,3,2580.520020,2569.000000,2503.250000,2691.250000,2374.879883,2754.100098
QUBO,256,3,3,3293.139893,3291.500000,3205.500000,3388.750000,3067.540039,3550.379883
QUBO,128,0,3,575.919983,578.000000,555.500000,598.250000,519.760010,624.059998
QUBO,128,4,3,921.159973,929.500000,862.750000,970.000000,802.960022,1030.839966
QUBO,64,1,3,146.539993,145.000000,139.000000,154.000000,122.000000,179.000000
QUBO,128,2,3,422.079987,423.000000,407.000000,438.500000,359.880005,471.000000
QUBO,256,0,3,1629.260010,1628.000000,1595.000000,1662.250000,1522.959961,1727.020020
QUBO,64,0,3,197.339996,196.500000,186.750000,207.000000,173.979996,224.000000
QUBO,64,2,4,138.380005,140.000000,130.000000,146.000000,108.980003,158.039993
QUBO,128,5,4,915.020020,913.000000,872.500000,956.250000,805.599976,1040.400024
QUBO,64,3,4,412.820007,413.500000,395.500000,429.500000,369.839996,463.040009
