step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
10,-367.739990234375,0.0,0.0,175.03175354003906,-367.739990234375,-341.0,139.34536743164062,-637.0,-599.25,-568.0,-470.0,-341.0,-252.25,-219.8000030517578,-178.80001831054688,-154.6199188232422
20,-442.239990234375,0.0,0.0,173.91246032714844,-442.239990234375,-443.5,112.24679565429688,-637.5,-607.2000122070312,-585.9000244140625,-527.25,-443.5,-375.25,-293.5,-239.90000915527344,-231.79995727539062
30,-462.3999938964844,0.0,0.0,172.79913330078125,-462.3999938964844,-462.5,102.44120025634766,-662.280029296875,-612.2999877929688,-594.2000122070312,-536.25,-462.5,-392.5,-319.79998779296875,-299.8000183105469,-285.3798828125
40,-490.4599914550781,0.0,0.0,171.97247314453125,-490.4599914550781,-482.0,104.65155029296875,-716.0399780273438,-662.7000122070312,-611.0999755859375,-564.0,-482.0,-421.25,-361.0,-337.10009765625,-309.3198547363281
50,-508.6399841308594,0.0,0.0,171.22998046875,-508.6400146484375,-499.0,101.5136947631836,-746.4199829101562,-676.9500122070312,-637.5,-577.25,-499.0,-432.5,-380.70001220703125,-360.50006103515625,-345.8399658203125
60,-528.4199829101562,0.0,0.0,170.3968963623047,-528.4199829101562,-525.0,104.03856658935547,-795.3800048828125,-716.5499877929688,-656.5999755859375,-596.0,-525.0,-461.25,-397.79998779296875,-377.550048828125,-361.0
70,-543.1799926757812,0.0,0.0,169.6158905029297,-543.1799926757812,-533.5,99.04850769042969,-795.3800048828125,-716.5499877929688,-662.2999877929688,-597.5,-533.5,-478.25,-427.60003662109375,-391.300048828125,-368.91998291015625
80,-564.7000122070312,0.0,0.0,168.96263122558594,-564.7000122070312,-549.5,97.3035888671875,-814.9199829101562,-747.0499877929688,-679.7000122070312,-605.5,-549.5,-495.0,-461.8999938964844,-449.300048828125,-401.8599853515625
90,-573.760009765625,0.0,0.0,168.279296875,-573.760009765625,-566.0,97.57122039794922,-814.9199829101562,-751.7999877929688,-695.2999877929688,-612.25,-566.0,-507.0,-462.0,-456.6500244140625,-401.8599853515625
100,-581.0999755859375,0.0,0.0,167.6558380126953,-581.0999755859375,-572.5,94.20589447021484,-814.9199829101562,-751.7999877929688,-695.2999877929688,-617.25,-572.5,-519.75,-474.70001220703125,-458.9000244140625,-429.29986572265625
