Interact vs No_Interact summary
wins_interact: 17
wins_no_interact: 13
mean_gap: 0.73%
per_instance_gap:
QUBO_dim64_t0: interact=200.259995, no_interact=202.940002, gap=-1.32% (no_interact better)
QUBO_dim64_t1: interact=147.419998, no_interact=149.919998, gap=-1.67% (no_interact better)
QUBO_dim64_t2: interact=138.660004, no_interact=140.880005, gap=-1.58% (no_interact better)
QUBO_dim64_t3: interact=411.959991, no_interact=416.899994, gap=-1.18% (no_interact better)
QUBO_dim64_t4: interact=328.980011, no_interact=336.399994, gap=-2.21% (no_interact better)
QUBO_dim64_t5: interact=308.179993, no_interact=312.079987, gap=-1.25% (no_interact better)
QUBO_dim128_t0: interact=582.299988, no_interact=578.599976, gap=0.64% (interact better)
QUBO_dim128_t1: interact=440.820007, no_interact=444.779999, gap=-0.89% (no_interact better)
QUBO_dim128_t2: interact=426.359985, no_interact=430.640015, gap=-0.99% (no_interact better)
QUBO_dim128_t3: interact=1188.520020, no_interact=1181.060059, gap=0.63% (interact better)
QUBO_dim128_t4: interact=934.820007, no_interact=945.299988, gap=-1.11% (no_interact better)
QUBO_dim128_t5: interact=905.940002, no_interact=908.859985, gap=-0.32% (no_interact better)
QUBO_dim256_t0: interact=1645.119995, no_interact=1556.140015, gap=5.72% (interact better)
QUBO_dim256_t1: interact=1303.479980, no_interact=1276.099976, gap=2.15% (interact better)
QUBO_dim256_t2: interact=1247.579956, no_interact=1198.839966, gap=4.07% (interact better)
QUBO_dim256_t3: interact=3319.260010, no_interact=3160.040039, gap=5.04% (interact better)
QUBO_dim256_t4: interact=2640.919922, no_interact=2562.879883, gap=3.05% (interact better)
QUBO_dim256_t5: interact=2619.020020, no_interact=2487.500000, gap=5.29% (interact better)
NK_dim128_t1: interact=0.709590, no_interact=0.709489, gap=0.01% (interact better)
NK_dim128_t2: interact=0.735739, no_interact=0.734740, gap=0.14% (interact better)
NK_dim128_t4: interact=0.755935, no_interact=0.751112, gap=0.64% (interact better)
NK_dim128_t8: interact=0.733431, no_interact=0.725111, gap=1.15% (interact better)
NK_dim256_t1: interact=0.707009, no_interact=0.703727, gap=0.47% (interact better)
NK_dim256_t2: interact=0.734268, no_interact=0.727533, gap=0.93% (interact better)
NK_dim256_t4: interact=0.746661, no_interact=0.733648, gap=1.77% (interact better)
NK_dim256_t8: interact=0.722251, no_interact=0.701805, gap=2.91% (interact better)
NK_dim64_t1: interact=0.711345, no_interact=0.711787, gap=-0.06% (no_interact better)
NK_dim64_t2: interact=0.742937, no_interact=0.743638, gap=-0.09% (no_interact better)
NK_dim64_t4: interact=0.751227, no_interact=0.754646, gap=-0.45% (no_interact better)
NK_dim64_t8: interact=0.742237, no_interact=0.738233, gap=0.54% (interact better)
