step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
48,-269.239990234375,127.97904968261719,7.482278823852539,177.08033752441406,-269.239990234375,-259.0,61.33223342895508,-400.0400085449219,-381.29998779296875,-359.29998779296875,-308.0,-259.0,-225.75,-200.60000610351562,-179.5000457763672,-149.0
96,-301.29998779296875,127.96421813964844,7.724407196044922,177.0432243347168,-301.29998779296875,-293.5,50.24072265625,-409.05999755859375,-391.45001220703125,-377.3999938964844,-333.75,-293.5,-265.25,-241.89999389648438,-234.550048828125,-217.8999786376953
144,-312.32000732421875,127.95094299316406,7.922849178314209,177.01104354858398,-312.32000732421875,-305.5,46.37540054321289,-409.05999755859375,-393.3500061035156,-384.29998779296875,-341.0,-305.5,-275.5,-256.6000061035156,-244.80001831054688,-237.0
192,-323.739990234375,127.93821716308594,8.106362342834473,176.9800682067871,-323.739990234375,-326.0,43.99445724487305,-409.05999755859375,-400.0,-387.0,-349.5,-326.0,-291.0,-269.0,-252.80001831054688,-244.87997436523438
240,-331.1600036621094,127.92671203613281,8.295294761657715,176.94968795776367,-331.1600036621094,-331.0,46.19517517089844,-414.55999755859375,-402.3500061035156,-391.20001220703125,-359.75,-331.0,-295.0,-274.0,-266.50006103515625,-244.87997436523438
288,-340.7200012207031,127.91585540771484,8.462684631347656,176.9212417602539,-340.7200012207031,-337.0,43.360137939453125,-422.3999938964844,-409.1499938964844,-400.0,-372.5,-337.0,-312.75,-287.70001220703125,-273.7500305175781,-266.91998291015625
336,-348.4599914550781,127.90631103515625,8.62108039855957,176.89445877075195,-348.4599914550781,-340.0,50.431819915771484,-442.7799987792969,-422.1000061035156,-409.0,-380.25,-340.0,-316.5,-291.79998779296875,-276.8500061035156,-268.9599914550781
384,-352.8399963378906,127.89573669433594,8.784225463867188,176.86623001098633,-352.8399963378906,-344.5,48.53364562988281,-442.7799987792969,-422.1000061035156,-409.0,-384.0,-344.5,-328.0,-295.8999938964844,-284.8000183105469,-273.89996337890625
432,-359.8199768066406,127.88531494140625,8.928525924682617,176.8401336669922,-359.82000732421875,-352.0,45.480411529541016,-442.7799987792969,-424.6000061035156,-409.29998779296875,-385.25,-352.0,-331.75,-306.79998779296875,-295.95001220703125,-289.89996337890625
480,-363.7200012207031,127.87535095214844,9.069433212280273,176.81425094604492,-363.7200012207031,-357.0,44.83147430419922,-449.6400146484375,-436.25,-412.0,-387.0,-357.0,-337.0,-314.79998779296875,-300.8000183105469,-295.8799743652344
528,-368.17999267578125,127.86348724365234,9.206862449645996,176.78692626953125,-368.17999267578125,-364.5,45.314762115478516,-449.6400146484375,-441.04998779296875,-422.20001220703125,-390.25,-364.5,-337.0,-323.0,-306.9000244140625,-296.0
576,-370.8800048828125,127.85527801513672,9.34174919128418,176.76312255859375,-370.8800048828125,-367.0,47.18056106567383,-481.0799865722656,-443.29998779296875,-436.5,-391.5,-367.0,-338.75,-324.79998779296875,-306.9000244140625,-296.0
624,-372.1399841308594,127.84556579589844,9.458407402038574,176.73967361450195,-372.1400146484375,-367.0,45.998260498046875,-481.0799865722656,-443.29998779296875,-436.5,-393.5,-367.0,-339.0,-328.8999938964844,-313.0,-302.8599853515625
672,-373.3399963378906,127.83558654785156,9.585678100585938,176.71435165405273,-373.3399963378906,-369.5,45.79939270019531,-481.0799865722656,-443.29998779296875,-436.5,-396.0,-369.5,-339.0,-328.8999938964844,-313.0,-302.8599853515625
720,-376.7799987792969,127.82594299316406,9.711992263793945,176.68983840942383,-376.7799987792969,-373.0,44.84742736816406,-481.0799865722656,-443.29998779296875,-436.5,-400.25,-373.0,-342.75,-330.79998779296875,-314.9000244140625,-306.91998291015625
768,-378.97998046875,127.81388854980469,9.833538055419922,176.66264724731445,-378.9800109863281,-376.0,44.11326217651367,-481.0799865722656,-443.29998779296875,-436.5,-402.5,-376.0,-346.0,-331.0,-322.60003662109375,-312.8799743652344
816,-379.8599853515625,127.80332946777344,9.967683792114258,176.63583374023438,-379.8599853515625,-377.5,43.56972122192383,-481.0799865722656,-443.29998779296875,-436.5,-402.5,-377.5,-346.75,-332.0,-324.9000244140625,-314.8399658203125
864,-382.0799865722656,127.79295349121094,10.094515800476074,176.60982513427734,-382.0799865722656,-382.0,43.794673919677734,-481.0799865722656,-449.20001220703125,-441.0,-405.5,-382.0,-347.0,-332.8999938964844,-324.9000244140625,-314.8399658203125
912,-384.0799865722656,127.782958984375,10.215410232543945,176.5847396850586,-384.0799865722656,-384.0,43.186729431152344,-481.0799865722656,-449.20001220703125,-441.0,-409.0,-384.0,-353.0,-333.0,-330.9000244140625,-322.8399658203125
960,-390.0199890136719,127.77227783203125,10.326913833618164,176.55936431884766,-390.0199890136719,-386.5,46.748897552490234,-485.9800109863281,-459.3999938964844,-443.6000061035156,-413.0,-386.5,-356.75,-335.70001220703125,-330.9000244140625,-322.8399658203125
1008,-393.3800048828125,127.76240539550781,10.446767807006836,176.53393936157227,-393.3800048828125,-387.0,45.079437255859375,-485.9800109863281,-459.3999938964844,-443.6000061035156,-414.25,-387.0,-359.0,-339.0,-332.9000244140625,-324.9599914550781
1056,-394.8599853515625,127.751708984375,10.573843002319336,176.50725173950195,-394.8599853515625,-388.0,45.031105041503906,-485.9800109863281,-467.54998779296875,-449.20001220703125,-414.25,-388.0,-362.0,-340.79998779296875,-333.0,-324.9599914550781
1104,-395.17999267578125,127.74275970458984,10.687461853027344,176.4823989868164,-395.17999267578125,-389.5,45.00252914428711,-485.9800109863281,-467.54998779296875,-449.20001220703125,-414.25,-389.5,-362.0,-340.79998779296875,-333.0,-324.9599914550781
1152,-395.17999267578125,127.732421875,10.80122184753418,176.45697784423828,-395.17999267578125,-389.5,45.00252914428711,-485.9800109863281,-467.54998779296875,-449.20001220703125,-414.25,-389.5,-362.0,-340.79998779296875,-333.0,-324.9599914550781
1200,-396.7799987792969,127.72227478027344,10.913930892944336,176.43134689331055,-396.7799987792969,-391.0,44.423545837402344,-485.9800109863281,-467.54998779296875,-449.20001220703125,-416.25,-391.0,-367.75,-343.8999938964844,-335.8500061035156,-324.9599914550781
1248,-397.1399841308594,127.71012878417969,11.022493362426758,176.40422821044922,-397.1400146484375,-393.5,44.302146911621094,-485.9800109863281,-467.54998779296875,-449.20001220703125,-416.25,-393.5,-370.75,-343.8999938964844,-335.8500061035156,-324.9599914550781
1296,-398.3399963378906,127.69987487792969,11.130297660827637,176.37935256958008,-398.3399963378906,-396.0,43.83816146850586,-485.9800109863281,-467.54998779296875,-449.20001220703125,-416.25,-396.0,-371.0,-348.70001220703125,-335.8500061035156,-324.9599914550781
1344,-399.55999755859375,127.69058227539062,11.238605499267578,176.3539047241211,-399.55999755859375,-399.5,43.39661407470703,-485.9800109863281,-467.54998779296875,-449.20001220703125,-420.25,-399.5,-373.0,-348.70001220703125,-335.8500061035156,-324.9599914550781
1392,-400.8399963378906,127.67887878417969,11.338476181030273,176.32778549194336,-400.8399963378906,-400.0,43.93306350708008,-485.9800109863281,-469.45001220703125,-451.20001220703125,-422.5,-400.0,-376.0,-348.70001220703125,-335.8500061035156,-324.9599914550781
1440,-401.0799865722656,127.6688232421875,11.44165325164795,176.3027229309082,-401.0799865722656,-400.0,43.777320861816406,-485.9800109863281,-469.45001220703125,-451.20001220703125,-422.5,-400.0,-376.0,-348.70001220703125,-335.8500061035156,-328.91998291015625
1488,-402.8399963378906,127.65911865234375,11.543350219726562,176.27820587158203,-402.8399963378906,-401.0,43.021324157714844,-485.9800109863281,-469.45001220703125,-451.20001220703125,-424.75,-401.0,-377.0,-349.0,-340.9000244140625,-332.91998291015625
1536,-404.0199890136719,127.64755249023438,11.65351676940918,176.25042724609375,-404.0199890136719,-401.0,42.007850646972656,-485.9800109863281,-469.45001220703125,-451.20001220703125,-424.75,-401.0,-377.75,-356.8999938964844,-343.8500061035156,-335.8599853515625
1584,-405.03997802734375,127.63570404052734,11.747709274291992,176.22505569458008,-405.0400085449219,-402.5,41.8824348449707,-485.9800109863281,-469.45001220703125,-451.20001220703125,-427.25,-402.5,-377.75,-357.0,-343.8500061035156,-335.8599853515625
1632,-406.91998291015625,127.62519836425781,11.855375289916992,176.19879913330078,-406.9200134277344,-406.0,41.55253982543945,-485.9800109863281,-469.45001220703125,-451.20001220703125,-428.5,-406.0,-379.0,-358.79998779296875,-346.8500061035156,-338.94000244140625
1680,-407.3599853515625,127.61419677734375,11.95630931854248,176.17304611206055,-407.3599853515625,-406.0,41.208377838134766,-485.9800109863281,-469.45001220703125,-451.20001220703125,-428.5,-406.0,-379.0,-359.0,-348.9000244140625,-338.94000244140625
1728,-407.6999816894531,127.60287475585938,12.0571928024292,176.1462287902832,-407.70001220703125,-406.0,40.787376403808594,-485.9800109863281,-469.45001220703125,-451.20001220703125,-428.5,-406.0,-379.0,-359.0,-352.8000183105469,-340.9599914550781
1776,-407.8599853515625,127.5887451171875,12.153444290161133,176.11741638183594,-407.8599853515625,-406.0,40.701847076416016,-485.9800109863281,-469.45001220703125,-451.20001220703125,-428.5,-406.0,-380.5,-359.0,-352.8000183105469,-340.9599914550781
1824,-408.0799865722656,127.57682800292969,12.263397216796875,176.089111328125,-408.0799865722656,-406.5,40.63167953491211,-485.9800109863281,-469.45001220703125,-451.20001220703125,-428.5,-406.5,-380.5,-359.0,-352.8000183105469,-340.9599914550781
1872,-408.5,127.56510925292969,12.37408447265625,176.06020736694336,-408.5,-408.0,40.5823860168457,-485.9800109863281,-469.45001220703125,-451.20001220703125,-428.5,-408.0,-380.5,-359.0,-353.7500305175781,-340.9599914550781
1920,-409.3800048828125,127.5513916015625,12.480571746826172,176.0296287536621,-409.3800048828125,-409.0,40.891998291015625,-485.9800109863281,-469.45001220703125,-453.0,-430.75,-409.0,-380.5,-359.0,-353.7500305175781,-340.9599914550781
1968,-410.0,127.5387191772461,12.585346221923828,176.00006484985352,-410.0,-409.0,40.561805725097656,-485.9800109863281,-469.45001220703125,-453.0,-430.75,-409.0,-383.25,-359.8999938964844,-353.7500305175781,-340.9599914550781
2016,-410.7200012207031,127.52726745605469,12.678694725036621,175.97394943237305,-410.7200012207031,-409.0,40.37055587768555,-485.9800109863281,-469.45001220703125,-453.0,-433.75,-409.0,-384.75,-363.6000061035156,-354.70001220703125,-340.9599914550781
2064,-410.7200012207031,127.51615905761719,12.780342102050781,175.94703674316406,-410.7200012207031,-409.0,40.37055587768555,-485.9800109863281,-469.45001220703125,-453.0,-433.75,-409.0,-384.75,-363.6000061035156,-354.70001220703125,-340.9599914550781
2112,-410.7200012207031,127.50338745117188,12.888076782226562,175.91668701171875,-410.7200012207031,-409.0,40.37055587768555,-485.9800109863281,-469.45001220703125,-453.0,-433.75,-409.0,-384.75,-363.6000061035156,-354.70001220703125,-340.9599914550781
2160,-412.0799865722656,127.49114227294922,12.99232292175293,175.88799285888672,-412.0799865722656,-409.0,40.88096618652344,-485.9800109863281,-469.45001220703125,-459.20001220703125,-437.25,-409.0,-385.75,-363.6000061035156,-354.70001220703125,-340.9599914550781
2208,-413.29998779296875,127.47718811035156,13.085983276367188,175.85768127441406,-413.29998779296875,-410.5,40.74812698364258,-485.9800109863281,-469.45001220703125,-459.20001220703125,-441.0,-410.5,-386.75,-366.70001220703125,-354.70001220703125,-340.9599914550781
2256,-414.7799987792969,127.46424865722656,13.195158004760742,175.82659530639648,-414.7799987792969,-412.0,42.26643753051758,-509.5,-481.0,-464.1000061035156,-441.0,-412.0,-386.75,-366.70001220703125,-354.70001220703125,-340.9599914550781
2304,-415.2200012207031,127.44932556152344,13.302156448364258,175.79410552978516,-415.2200012207031,-412.5,41.85894775390625,-509.5,-481.0,-464.1000061035156,-441.0,-412.5,-386.75,-367.8999938964844,-355.95001220703125,-344.8799743652344
2352,-416.29998779296875,127.43444061279297,13.41096305847168,175.76068496704102,-416.29998779296875,-413.5,41.68416976928711,-509.5,-481.0,-464.1000061035156,-441.0,-413.5,-387.0,-368.8999938964844,-358.8500061035156,-344.8799743652344
2400,-416.7799987792969,127.42034912109375,13.511987686157227,175.72901153564453,-416.7799987792969,-413.5,41.70960998535156,-509.5,-481.0,-464.1000061035156,-441.25,-413.5,-387.0,-368.8999938964844,-358.8500061035156,-344.8799743652344
2448,-418.17999267578125,127.40888977050781,13.61893367767334,175.69879150390625,-418.17999267578125,-414.5,41.1342658996582,-509.5,-481.0,-464.1000061035156,-442.25,-414.5,-388.5,-369.0,-359.0,-346.8399658203125
2496,-419.29998779296875,127.3927001953125,13.723739624023438,175.66413116455078,-419.29998779296875,-415.0,41.43247604370117,-509.5,-481.20001220703125,-465.20001220703125,-443.0,-415.0,-389.75,-369.0,-359.0,-346.8399658203125
2544,-419.29998779296875,127.37736511230469,13.831727981567383,175.629638671875,-419.29998779296875,-415.0,41.43247604370117,-509.5,-481.20001220703125,-465.20001220703125,-443.0,-415.0,-389.75,-369.0,-359.0,-346.8399658203125
2592,-419.94000244140625,127.36238098144531,13.937198638916016,175.5964698791504,-419.94000244140625,-415.5,41.206024169921875,-509.5,-481.20001220703125,-465.20001220703125,-443.0,-415.5,-393.0,-369.0,-359.0,-346.8399658203125
