step,best_fitness,avg_hamming,avg_l1,avg_entropy
200,-81.18000030517578,31.718000411987305,8.48417854309082,42.29251213073731
400,-86.83999633789062,31.482114791870117,11.204607009887695,40.66765079498291
600,-91.0,31.234172821044922,13.138504981994629,39.145988655090335
800,-95.83999633789062,30.959293365478516,14.663192749023438,37.658479881286624
1000,-100.18000030517578,30.631685256958008,15.854783058166504,36.19427013397217
1200,-104.23999786376953,30.26242446899414,16.81734848022461,34.742391204833986
1400,-108.5,29.862550735473633,17.579275131225586,33.32072563171387
1600,-111.89999389648438,29.482017517089844,18.17363166809082,32.00733070373535
1800,-115.54000091552734,29.122642517089844,18.716310501098633,30.709823322296142
2000,-119.63999938964844,28.77907943725586,19.158105850219727,29.485388660430907
2200,-122.47999572753906,28.470590591430664,19.549745559692383,28.3349853515625
2400,-124.54000091552734,28.170696258544922,19.86658477783203,27.255324935913087
2600,-127.23999786376953,27.890377044677734,20.147911071777344,26.23277339935303
2800,-129.0800018310547,27.60379981994629,20.38045883178711,25.239949417114257
3000,-130.5,27.314613342285156,20.572750091552734,24.27961540222168
3200,-132.44000244140625,27.019229888916016,20.73271369934082,23.339358043670654
3400,-133.8199920654297,26.73250961303711,20.848276138305664,22.455259609222413
3600,-134.94000244140625,26.48053741455078,20.958820343017578,21.6445894241333
3800,-135.97999572753906,26.224502563476562,21.05424690246582,20.834682941436768
4000,-136.63999938964844,25.990312576293945,21.141855239868164,20.06175003051758
4200,-137.17999267578125,25.766815185546875,21.21460723876953,19.324684429168702
4400,-138.0800018310547,25.545690536499023,21.266952514648438,18.624680614471437
4600,-138.5800018310547,25.341371536254883,21.30541229248047,17.96601676940918
4800,-139.05999755859375,25.140043258666992,21.32971954345703,17.337196159362794
5000,-139.4199981689453,24.952835083007812,21.348058700561523,16.738715267181398
5200,-139.75999450683594,24.77901268005371,21.372827529907227,16.16106023788452
5400,-140.16000366210938,24.619108200073242,21.398218154907227,15.601350116729737
5600,-140.63999938964844,24.47450065612793,21.413528442382812,15.09201521873474
5800,-140.8199920654297,24.349956512451172,21.436477661132812,14.615112495422363
6000,-141.1199951171875,24.215181350708008,21.437610626220703,14.157906484603881
6200,-141.37998962402344,24.116378784179688,21.465944290161133,13.726238012313843
6400,-141.66000366210938,24.010835647583008,21.47565269470215,13.317021226882934
6600,-141.75999450683594,23.918350219726562,21.492666244506836,12.922215270996094
6800,-141.83999633789062,23.84105682373047,21.516300201416016,12.557138681411743
7000,-142.0399932861328,23.76070785522461,21.529714584350586,12.208641386032104
7200,-142.0800018310547,23.688045501708984,21.540834426879883,11.882732772827149
7400,-142.1999969482422,23.610681533813477,21.538843154907227,11.582283782958985
7600,-142.36000061035156,23.561189651489258,21.565168380737305,11.287416076660156
7800,-142.45999145507812,23.51677894592285,21.5887451171875,11.008607149124146
8000,-142.5399932861328,23.48261070251465,21.605792999267578,10.780313348770141
8200,-142.5800018310547,23.43778419494629,21.6152400970459,10.550875043869018
8400,-142.66000366210938,23.411935806274414,21.644447326660156,10.322089338302613
8600,-142.739990234375,23.378135681152344,21.661602020263672,10.107619047164917
8800,-142.77999877929688,23.3402099609375,21.672718048095703,9.899474954605102
9000,-142.8199920654297,23.279891967773438,21.66007423400879,9.6929696559906
9200,-142.83999633789062,23.27047348022461,21.693817138671875,9.510713911056518
9400,-142.9199981689453,23.24952507019043,21.710771560668945,9.347339773178101
9600,-142.94000244140625,23.209247589111328,21.71522331237793,9.163178253173829
9800,-142.94000244140625,23.182939529418945,21.72422981262207,9.002412891387939
10000,-143.02000427246094,23.142301559448242,21.723983764648438,8.831246614456177
