problem,N,K,M,mean,median,q1,q3,p2,p98
NK,128,1,13,0.711880,0.712589,0.710675,0.720493,0.673969,0.733697
NK,256,1,13,0.708587,0.711172,0.697202,0.719021,0.689221,0.725071
NK,256,8,13,0.668335,0.667579,0.660411,0.674216,0.650875,0.691276
NK,128,8,13,0.730340,0.730623,0.724359,0.737159,0.710406,0.752467
NK,128,2,13,0.740120,0.741658,0.736082,0.745602,0.722013,0.754826
NK,128,4,13,0.763443,0.765636,0.753783,0.772507,0.739968,0.781715
NK,64,4,13,0.759403,0.760293,0.751652,0.770372,0.731112,0.775209
NK,64,1,13,0.712327,0.701060,0.685058,0.747418,0.675165,0.761317
NK,256,4,13,0.749798,0.749232,0.742336,0.758987,0.732542,0.766938
NK,64,2,13,0.746668,0.743229,0.722858,0.758019,0.710549,0.808327
NK,64,8,13,0.751281,0.751004,0.744433,0.758422,0.726161,0.770623
NK,256,2,14,0.736532,0.739030,0.731582,0.743564,0.712480,0.747621
NK,128,1,14,0.711901,0.712589,0.710820,0.720493,0.673969,0.734477
NK,256,1,14,0.708208,0.711018,0.696547,0.719135,0.689425,0.725178
NK,256,8,14,0.652767,0.651384,0.645516,0.660222,0.632394,0.674186
NK,128,8,14,0.722664,0.723550,0.712858,0.730049,0.699197,0.750775
NK,128,2,14,0.739731,0.740709,0.736082,0.745679,0.722397,0.754346
NK,128,4,14,0.763815,0.766160,0.753710,0.774658,0.734934,0.785014
NK,64,4,14,0.759837,0.760293,0.751752,0.770645,0.728750,0.779445
NK,64,1,14,0.712337,0.701072,0.684650,0.747418,0.675514,0.761317
NK,256,4,14,0.745218,0.745242,0.737480,0.752939,0.723044,0.764630
NK,64,2,14,0.746701,0.743229,0.722563,0.760921,0.707893,0.807049
NK,64,8,14,0.748868,0.749626,0.741164,0.756030,0.725824,0.770092
NK,256,2,15,0.734637,0.737265,0.729321,0.742818,0.709621,0.746796
NK,128,1,15,0.711883,0.712824,0.710922,0.720493,0.673969,0.734077
NK,256,1,15,0.707610,0.710635,0.695599,0.718796,0.687902,0.725120
NK,256,8,15,0.637178,0.636491,0.629943,0.641857,0.619051,0.664244
NK,128,8,15,0.711812,0.711221,0.699757,0.721528,0.690079,0.748470
NK,128,2,15,0.739240,0.740673,0.735693,0.745488,0.722903,0.752904
NK,128,4,15,0.763962,0.767797,0.755013,0.774801,0.739966,0.781556
NK,64,4,15,0.759550,0.760098,0.753344,0.770645,0.732863,0.778628
NK,64,1,15,0.712269,0.701060,0.684690,0.747418,0.675160,0.761317
NK,256,4,15,0.739420,0.739671,0.731260,0.747834,0.714142,0.765004
NK,64,2,15,0.746959,0.743229,0.723174,0.758547,0.710556,0.810475
NK,64,8,15,0.747644,0.747356,0.738784,0.755031,0.727051,0.772879
NK,256,2,16,0.732165,0.734492,0.725958,0.739012,0.709809,0.746133
NK,128,1,16,0.711944,0.712713,0.710890,0.720493,0.673961,0.734190
NK,256,1,16,0.706919,0.709670,0.694877,0.718245,0.687595,0.724799
NK,256,8,16,0.624822,0.624548,0.617816,0.631373,0.603875,0.641980
NK,128,8,16,0.699143,0.696358,0.687521,0.707928,0.668571,0.733232
NK,128,2,16,0.739108,0.740481,0.735794,0.745103,0.721765,0.754576
NK,128,4,16,0.762394,0.765254,0.751763,0.773460,0.735361,0.782026
NK,64,4,16,0.759910,0.760293,0.756674,0.768199,0.729857,0.777582
NK,64,1,16,0.712209,0.701060,0.682824,0.747418,0.675165,0.761317
NK,256,4,16,0.733091,0.732250,0.724251,0.741882,0.712200,0.755622
NK,64,2,16,0.747059,0.743229,0.723239,0.758547,0.710202,0.811855
NK,64,8,16,0.745590,0.744792,0.737804,0.752262,0.725688,0.766733
