problem,n,type_instance,M,mean,median,q1,q3,p2,p98
QUBO,64,2,1,131.839996,131.000000,123.000000,143.250000,104.940000,157.000000
QUBO,128,5,1,874.280029,873.500000,829.750000,925.750000,755.880000,1011.080000
QUBO,64,3,1,390.279999,387.000000,368.000000,415.250000,319.840000,453.080000
QUBO,256,1,1,1256.760010,1261.500000,1226.500000,1299.250000,1113.720000,1389.040000
QUBO,64,5,1,296.820007,294.000000,263.750000,320.000000,229.960000,388.040000
QUBO,64,4,1,314.859985,314.500000,293.500000,334.000000,269.960000,372.000000
QUBO,128,1,1,422.200012,423.000000,401.750000,447.250000,347.900000,487.020000
QUBO,128,3,1,1127.140015,1127.000000,1071.750000,1176.250000,992.820000,1309.480000
QUBO,256,4,1,2555.820068,2552.000000,2480.500000,2626.500000,2270.100000,2828.160000
QUBO,256,2,1,1201.660034,1201.000000,1155.250000,1244.750000,1090.800000,1333.260000
QUBO,256,5,1,2512.600098,2502.000000,2407.500000,2598.500000,2275.440000,2807.700000
QUBO,256,3,1,3208.360107,3217.000000,3110.750000,3304.250000,2956.500000,3469.060000
QUBO,128,0,1,555.059998,554.000000,529.750000,579.000000,499.620000,625.160000
QUBO,128,4,1,887.380005,876.500000,833.250000,932.250000,750.000000,1063.100000
QUBO,64,1,1,140.020004,139.000000,132.500000,147.000000,111.900000,179.000000
QUBO,128,2,1,407.839996,408.500000,390.250000,431.000000,331.800000,475.040000
QUBO,256,0,1,1560.239990,1552.000000,1519.000000,1615.250000,1424.560000,1681.480000
QUBO,64,0,1,190.740005,193.000000,178.000000,201.000000,158.980000,222.000000
QUBO,64,2,2,137.100006,138.000000,129.000000,145.000000,113.000000,158.040000
QUBO,128,5,2,893.979980,892.000000,850.000000,939.000000,781.760000,1010.020000
QUBO,64,3,2,404.260010,404.500000,382.750000,420.500000,351.920000,453.020000
QUBO,256,1,2,1308.079956,1308.000000,1275.000000,1335.500000,1186.660000,1411.220000
QUBO,64,5,2,304.160004,297.000000,270.000000,330.000000,249.980000,392.040000
QUBO,64,4,2,322.820007,324.000000,304.000000,341.000000,277.940000,372.000000
QUBO,128,1,2,437.380005,440.000000,417.000000,461.000000,373.980000,492.120000
QUBO,128,3,2,1177.760010,1170.000000,1142.750000,1212.000000,1080.560000,1313.240000
QUBO,256,4,2,2611.760010,2617.500000,2526.750000,2680.750000,2353.200000,2835.920000
QUBO,256,2,2,1253.180054,1253.000000,1204.500000,1315.000000,1134.680000,1378.320000
QUBO,256,5,2,2617.139893,2618.000000,2520.750000,2709.750000,2413.640000,2804.720000
QUBO,256,3,2,3307.699951,3295.000000,3234.250000,3376.250000,3070.680000,3518.720000
QUBO,128,0,2,572.539978,572.000000,550.750000,593.000000,512.940000,627.080000
QUBO,128,4,2,927.859985,918.500000,871.250000,977.500000,808.960000,1074.040000
QUBO,64,1,2,145.240005,145.000000,134.750000,154.000000,113.860000,179.000000
QUBO,128,2,2,425.100006,423.500000,410.500000,439.250000,381.820000,479.080000
QUBO,256,0,2,1629.319946,1631.000000,1581.000000,1679.000000,1479.940000,1761.020000
QUBO,64,0,2,195.660004,196.000000,187.500000,204.250000,170.980000,222.000000
QUBO,64,2,3,137.479996,137.000000,129.000000,146.000000,114.940000,159.020000
QUBO,128,5,3,918.880005,920.000000,879.750000,957.500000,818.920000,1014.560000
QUBO,64,3,3,413.200012,412.000000,395.500000,428.250000,370.900000,469.000000
QUBO,256,1,3,1329.400024,1329.000000,1293.000000,1375.250000,1204.880000,1443.040000
QUBO,64,5,3,313.260010,312.000000,280.250000,338.000000,253.980000,396.000000
QUBO,64,4,3,332.660004,335.000000,320.000000,346.000000,288.000000,372.000000
QUBO,128,1,3,440.220001,441.000000,416.750000,465.000000,381.880000,487.060000
QUBO,128,3,3,1204.920044,1198.000000,1163.000000,1240.500000,1078.980000,1349.280000
QUBO,256,4,3,2657.060059,2651.000000,2571.500000,2738.250000,2480.060000,2879.020000
QUBO,256,2,3,1260.760010,1261.500000,1215.000000,1305.750000,1156.900000,1380.100000
QUBO,256,5,3,2658.699951,2639.500000,2567.750000,2764.500000,2455.760000,2896.160000
QUBO,256,3,3,3365.939941,3360.000000,3287.000000,3443.000000,3158.340000,3618.360000
QUBO,128,0,3,578.760010,580.500000,562.000000,599.500000,502.920000,633.040000
QUBO,128,4,3,935.080017,942.000000,892.250000,975.500000,804.280000,1065.100000
QUBO,64,1,3,146.199997,145.000000,138.750000,154.000000,121.840000,179.000000
QUBO,128,2,3,426.540009,425.500000,405.000000,449.500000,355.920000,483.000000
QUBO,256,0,3,1646.380005,1645.500000,1610.000000,1693.000000,1520.960000,1767.260000
QUBO,64,0,3,200.279999,201.000000,192.750000,208.250000,173.880000,224.000000
QUBO,64,2,4,140.419998,141.000000,132.000000,147.250000,124.960000,160.000000
QUBO,128,5,4,920.780029,916.000000,867.750000,963.500000,825.980000,1040.160000
QUBO,64,3,4,419.239990,420.000000,402.000000,437.500000,371.960000,473.040000
QUBO,256,1,4,1323.979980,1322.500000,1287.000000,1362.750000,1220.840000,1421.280000
QUBO,64,5,4,312.320007,313.000000,278.000000,342.000000,258.980000,390.000000
QUBO,64,4,4,333.760010,339.000000,321.500000,346.750000,290.500000,372.000000
QUBO,128,1,4,446.140015,451.000000,422.500000,467.000000,397.800000,498.000000
QUBO,128,3,4,1201.800049,1194.500000,1163.750000,1229.250000,1116.660000,1357.040000
QUBO,256,4,4,2688.199951,2688.000000,2598.000000,2766.500000,2453.640000,2923.200000
QUBO,256,2,4,1266.739990,1260.000000,1224.500000,1301.500000,1168.600000,1375.200000
QUBO,256,5,4,2646.199951,2647.000000,2559.500000,2745.250000,2414.540000,2851.840000
QUBO,256,3,4,3381.040039,3371.500000,3290.000000,3485.250000,3151.600000,3609.060000
QUBO,128,0,4,587.340027,587.500000,570.000000,607.000000,525.920000,649.000000
QUBO,128,4,4,947.219971,945.000000,895.000000,1003.000000,822.500000,1064.160000
QUBO,64,1,4,149.160004,147.000000,141.000000,155.250000,125.000000,179.000000
QUBO,128,2,4,432.839996,432.500000,419.000000,449.250000,384.000000,479.040000
QUBO,256,0,4,1665.380005,1673.500000,1629.250000,1704.000000,1543.980000,1771.300000
QUBO,64,0,4,201.539993,203.000000,194.000000,209.000000,176.940000,224.000000
QUBO,64,2,5,140.759995,141.000000,132.000000,149.000000,120.980000,159.000000
QUBO,128,5,5,927.419983,926.000000,891.500000,971.250000,818.720000,1031.060000
QUBO,64,3,5,417.640015,421.500000,395.500000,437.000000,367.960000,473.080000
QUBO,256,1,5,1333.520020,1336.500000,1294.500000,1372.500000,1226.840000,1434.060000
QUBO,64,5,5,312.000000,311.000000,275.750000,332.500000,262.960000,396.040000
QUBO,64,4,5,333.380005,339.000000,321.500000,345.250000,289.960000,372.000000
QUBO,128,1,5,448.579987,451.500000,429.750000,467.500000,395.840000,498.000000
QUBO,128,3,5,1216.520020,1214.000000,1178.750000,1249.000000,1112.820000,1333.120000
QUBO,256,4,5,2686.340088,2687.000000,2626.000000,2751.250000,2487.640000,2897.240000
QUBO,256,2,5,1281.959961,1282.500000,1239.000000,1314.250000,1190.320000,1404.020000
QUBO,256,5,5,2656.879883,2647.000000,2569.000000,2740.500000,2460.580000,2880.040000
QUBO,256,3,5,3389.719971,3395.500000,3310.000000,3461.000000,3159.840000,3574.420000
QUBO,128,0,5,595.460022,596.000000,578.750000,609.000000,548.960000,636.060000
QUBO,128,4,5,956.200012,966.000000,909.000000,1010.500000,826.920000,1074.040000
QUBO,64,1,5,150.699997,150.000000,141.000000,158.000000,126.960000,179.000000
QUBO,128,2,5,435.480011,433.500000,417.750000,455.500000,394.920000,481.080000
QUBO,256,0,5,1673.439941,1672.000000,1626.500000,1712.000000,1576.920000,1796.640000
QUBO,64,0,5,203.639999,205.000000,194.750000,212.250000,182.000000,224.000000
QUBO,64,2,6,140.899994,143.000000,131.750000,147.250000,114.960000,161.000000
QUBO,128,5,6,930.080017,927.000000,891.500000,975.250000,815.860000,1040.120000
QUBO,64,3,6,421.799988,424.000000,402.000000,440.000000,379.920000,475.000000
QUBO,256,1,6,1328.119995,1323.500000,1295.000000,1357.000000,1242.960000,1425.100000
QUBO,64,5,6,312.660004,316.000000,278.750000,334.500000,257.920000,394.040000
QUBO,64,4,6,334.679993,340.000000,324.000000,346.000000,283.920000,372.000000
QUBO,128,1,6,446.980011,449.000000,425.750000,468.250000,399.000000,492.080000
QUBO,128,3,6,1217.939941,1211.500000,1176.750000,1249.000000,1111.240000,1361.120000
QUBO,256,4,6,2694.459961,2691.000000,2612.500000,2764.250000,2491.960000,2891.200000
QUBO,256,2,6,1276.420044,1270.000000,1237.250000,1320.750000,1182.500000,1420.240000
QUBO,256,5,6,2676.100098,2668.000000,2590.000000,2761.250000,2439.920000,2898.220000
QUBO,256,3,6,3405.120117,3404.500000,3323.250000,3477.500000,3161.440000,3667.300000
QUBO,128,0,6,592.239990,590.000000,575.750000,611.000000,537.940000,635.120000
QUBO,128,4,6,951.940002,947.000000,908.250000,1001.250000,834.960000,1076.040000
QUBO,64,1,6,151.440002,151.000000,141.000000,157.000000,135.000000,179.000000
QUBO,128,2,6,436.700012,434.000000,420.000000,455.250000,393.940000,485.040000
QUBO,256,0,6,1675.939941,1680.000000,1629.000000,1722.000000,1570.900000,1768.260000
QUBO,64,0,6,204.419998,205.000000,197.000000,211.500000,181.920000,224.000000
QUBO,64,2,7,141.660004,143.000000,132.750000,149.000000,124.919998,160.020004
QUBO,128,5,7,931.280029,927.000000,892.000000,977.000000,820.700012,1044.119995
QUBO,64,3,7,425.480011,426.000000,405.500000,445.250000,381.920013,469.040009
QUBO,256,1,7,1331.540039,1330.500000,1305.000000,1357.750000,1246.760010,1417.060059
QUBO,64,5,7,316.179993,322.000000,279.750000,336.000000,261.980011,396.000000
QUBO,64,4,7,337.040009,340.000000,324.000000,350.000000,297.959991,372.000000
QUBO,128,1,7,449.200012,452.500000,433.750000,467.000000,400.000000,498.000000
QUBO,128,3,7,1224.199951,1215.500000,1180.750000,1260.500000,1134.619995,1363.040039
QUBO,256,4,7,2717.340088,2718.000000,2631.500000,2792.000000,2491.679932,2929.120117
QUBO,256,2,7,1282.020020,1277.000000,1234.250000,1329.500000,1172.920044,1411.099976
QUBO,256,5,7,2665.959961,2667.000000,2595.750000,2755.500000,2465.379883,2842.020020
QUBO,256,3,7,3392.419922,3399.000000,3331.250000,3473.750000,3145.520020,3573.300049
QUBO,128,0,7,590.159973,589.000000,568.000000,609.000000,548.960022,635.059998
QUBO,128,4,7,958.719971,958.500000,911.750000,1009.000000,852.919983,1074.079956
QUBO,64,1,7,151.240005,151.000000,141.000000,158.000000,132.940002,179.000000
QUBO,128,2,7,438.679993,436.500000,422.000000,453.250000,397.799988,481.040009
QUBO,256,0,7,1677.119995,1673.000000,1637.000000,1715.250000,1581.979980,1763.160034
QUBO,64,0,7,205.199997,206.500000,199.000000,214.250000,181.960007,224.000000
QUBO,64,2,8,142.380005,143.000000,133.000000,151.000000,125.000000,161.000000
QUBO,128,5,8,933.840027,926.000000,893.250000,976.750000,824.880005,1054.079956
QUBO,64,3,8,424.700012,425.000000,408.000000,442.000000,382.000000,469.079987
QUBO,256,1,8,1340.439941,1341.500000,1310.500000,1372.500000,1239.959961,1447.239990
QUBO,64,5,8,315.700012,323.000000,277.750000,336.500000,266.000000,396.079987
QUBO,64,4,8,340.000000,342.000000,333.500000,350.000000,292.940002,372.000000
QUBO,128,1,8,450.220001,451.500000,437.000000,464.500000,404.000000,489.000000
QUBO,128,3,8,1219.739990,1209.500000,1183.750000,1252.500000,1120.640015,1365.000000
QUBO,256,4,8,2694.239990,2695.500000,2608.750000,2777.250000,2480.959961,2906.219971
QUBO,256,2,8,1278.420044,1273.500000,1235.000000,1326.750000,1172.959961,1394.079956
QUBO,256,5,8,2653.360107,2673.500000,2563.250000,2751.000000,2421.939941,2929.060059
QUBO,256,3,8,3390.239990,3390.000000,3316.250000,3466.250000,3216.979980,3599.340088
QUBO,128,0,8,596.799988,592.500000,579.000000,615.000000,543.900024,647.000000
QUBO,128,4,8,963.640015,960.000000,909.000000,1003.750000,850.960022,1076.040039
QUBO,64,1,8,153.360001,154.000000,144.500000,158.500000,136.000000,179.000000
QUBO,128,2,8,438.720001,437.000000,423.750000,454.250000,390.619995,481.079987
QUBO,256,0,8,1680.459961,1681.500000,1639.750000,1720.000000,1570.959961,1800.319946
QUBO,64,0,8,205.199997,205.000000,197.750000,211.500000,179.960007,224.000000
QUBO,64,2,9,142.339996,143.000000,133.000000,149.250000,122.959999,161.000000
QUBO,128,5,9,930.979980,926.000000,886.750000,967.000000,830.960022,1052.160034
