step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
60,-142.8199920654297,63.99094772338867,3.7654900550842285,88.5389461517334,-142.82000732421875,-138.5,31.271835327148438,-206.33999633789062,-200.0500030517578,-195.0,-158.25,-138.5,-120.75,-107.0,-100.90000915527344,-96.95999145507812
120,-156.09999084472656,63.983802795410156,3.8898608684539795,88.51961517333984,-156.10000610351562,-151.0,28.006961822509766,-210.25999450683594,-206.0500030517578,-199.0,-169.0,-151.0,-136.5,-124.0,-117.90000915527344,-114.89997863769531
180,-161.0,63.97806930541992,4.016691207885742,88.50169372558594,-161.0,-154.0,26.96442222595215,-223.0800018310547,-207.0,-200.0,-178.0,-154.0,-141.0,-131.0,-125.95000457763672,-118.93998718261719
240,-167.25999450683594,63.971920013427734,4.131860733032227,88.4838809967041,-167.25999450683594,-163.5,26.24752426147461,-223.0800018310547,-209.0,-201.39999389648438,-186.5,-163.5,-147.0,-136.8000030517578,-130.85000610351562,-124.91998291015625
300,-169.59999084472656,63.96586608886719,4.233077526092529,88.46736717224121,-169.60000610351562,-167.0,25.81782341003418,-223.0800018310547,-209.0,-205.0,-188.0,-167.0,-151.0,-136.8000030517578,-131.0,-125.97999572753906
360,-174.63999938964844,63.9613037109375,4.326135635375977,88.4527473449707,-174.63999938964844,-169.5,24.234487533569336,-227.36000061035156,-209.0500030517578,-206.10000610351562,-193.5,-169.5,-158.0,-146.60000610351562,-137.85000610351562,-130.97999572753906
420,-177.67999267578125,63.954673767089844,4.4168620109558105,88.43621635437012,-177.67999267578125,-174.5,25.415302276611328,-245.0,-210.64999389648438,-207.0,-195.25,-174.5,-161.75,-150.5,-140.85000610351562,-133.95999145507812
480,-178.87998962402344,63.94873046875,4.507458686828613,88.42024421691895,-178.8800048828125,-177.0,24.810997009277344,-245.0,-210.64999389648438,-207.0,-196.0,-177.0,-162.75,-151.0,-142.90000915527344,-137.87997436523438
540,-181.94000244140625,63.9439811706543,4.590112209320068,88.40615653991699,-181.94000244140625,-179.5,23.744396209716797,-245.0,-216.34999084472656,-209.0,-197.0,-179.5,-165.0,-152.89999389648438,-144.95001220703125,-142.95999145507812
600,-182.83999633789062,63.93830490112305,4.670336723327637,88.39127159118652,-182.83999633789062,-181.0,23.385772705078125,-245.0,-216.34999084472656,-209.0,-197.0,-181.0,-166.75,-158.40000915527344,-144.95001220703125,-142.95999145507812
660,-185.94000244140625,63.932861328125,4.746368408203125,88.37660217285156,-185.94000244140625,-183.5,24.5869140625,-253.02000427246094,-235.5,-210.0,-200.0,-183.5,-168.75,-161.0,-151.0,-143.97999572753906
720,-187.47999572753906,63.92911911010742,4.82198429107666,88.36384201049805,-187.47999572753906,-185.0,24.91765594482422,-253.02000427246094,-235.5,-211.5,-200.25,-185.0,-169.0,-161.89999389648438,-151.95001220703125,-144.97999572753906
780,-188.6199951171875,63.923980712890625,4.900501251220703,88.34924697875977,-188.6199951171875,-185.5,24.081851959228516,-253.02000427246094,-235.5,-211.5,-200.25,-185.5,-170.0,-162.89999389648438,-158.7000274658203,-150.87997436523438
840,-189.77999877929688,63.91900634765625,4.9679365158081055,88.33596420288086,-189.77999877929688,-187.0,23.385286331176758,-253.02000427246094,-235.5,-211.5,-200.25,-187.0,-172.75,-165.89999389648438,-161.0,-150.87997436523438
900,-190.27999877929688,63.91387176513672,5.034550666809082,88.32226181030273,-190.27999877929688,-188.0,23.174158096313477,-253.02000427246094,-235.5,-211.5,-200.25,-188.0,-173.0,-166.0,-161.0,-150.87997436523438
960,-191.739990234375,63.908973693847656,5.1076860427856445,88.30838584899902,-191.74000549316406,-189.0,23.145030975341797,-253.02000427246094,-235.5,-216.1999969482422,-203.5,-189.0,-176.75,-166.0,-161.0,-150.87997436523438
1020,-194.9199981689453,63.9041748046875,5.18084716796875,88.29403877258301,-194.9199981689453,-191.0,23.107437133789062,-253.02000427246094,-243.10000610351562,-227.1999969482422,-206.25,-191.0,-178.75,-166.89999389648438,-165.95001220703125,-161.97999572753906
1080,-195.36000061035156,63.89863586425781,5.2460527420043945,88.27984809875488,-195.36000061035156,-191.0,22.79364776611328,-253.02000427246094,-243.10000610351562,-227.1999969482422,-206.25,-191.0,-179.75,-169.0,-166.0,-161.97999572753906
1140,-196.3000030517578,63.893310546875,5.31463623046875,88.26575660705566,-196.3000030517578,-194.5,22.57587242126465,-253.02000427246094,-243.10000610351562,-227.1999969482422,-207.5,-194.5,-182.5,-169.0,-166.0,-161.97999572753906
1200,-197.239990234375,63.88945770263672,5.384222984313965,88.25292205810547,-197.24000549316406,-195.0,21.960474014282227,-253.02000427246094,-243.10000610351562,-227.1999969482422,-207.5,-195.0,-184.0,-171.8000030517578,-166.0,-161.97999572753906
1260,-197.47999572753906,63.88408660888672,5.4518866539001465,88.23851776123047,-197.47999572753906,-195.0,21.89999008178711,-253.02000427246094,-243.10000610351562,-227.1999969482422,-207.5,-195.0,-184.0,-171.8000030517578,-166.0,-161.97999572753906
1320,-197.739990234375,63.8790397644043,5.520306587219238,88.22433471679688,-197.74000549316406,-195.0,21.60584259033203,-253.02000427246094,-243.10000610351562,-227.1999969482422,-207.5,-195.0,-184.0,-171.8000030517578,-166.0,-164.9399871826172
1380,-198.22000122070312,63.87389373779297,5.580750465393066,88.21072196960449,-198.22000122070312,-195.5,21.571083068847656,-253.02000427246094,-243.10000610351562,-227.1999969482422,-209.0,-195.5,-184.0,-171.8000030517578,-166.0,-164.9399871826172
1440,-198.87998962402344,63.86848449707031,5.647630214691162,88.19611740112305,-198.8800048828125,-196.0,21.147708892822266,-253.02000427246094,-243.10000610351562,-227.1999969482422,-209.0,-196.0,-185.75,-173.0,-166.0,-164.9399871826172
1500,-198.9199981689453,63.86347579956055,5.71197509765625,88.18168640136719,-198.9199981689453,-196.0,21.10814094543457,-253.02000427246094,-243.10000610351562,-227.1999969482422,-209.0,-196.0,-185.75,-173.0,-166.0,-164.9399871826172
1560,-199.55999755859375,63.85772705078125,5.777617454528809,88.16640663146973,-199.55999755859375,-196.5,21.068613052368164,-253.02000427246094,-243.10000610351562,-227.1999969482422,-209.0,-196.5,-186.0,-173.0,-169.80001831054688,-164.9399871826172
1620,-199.63999938964844,63.85186767578125,5.831841945648193,88.15242004394531,-199.63999938964844,-197.0,21.025468826293945,-253.02000427246094,-243.10000610351562,-227.1999969482422,-209.0,-197.0,-186.0,-173.0,-169.80001831054688,-164.9399871826172
1680,-199.97999572753906,63.84764862060547,5.896349906921387,88.13876724243164,-199.97999572753906,-197.0,20.80191421508789,-253.02000427246094,-243.10000610351562,-227.1999969482422,-209.0,-197.0,-187.5,-176.60000610351562,-169.80001831054688,-164.9399871826172
1740,-201.25999450683594,63.842132568359375,5.954198360443115,88.12435913085938,-201.25999450683594,-198.0,21.96661949157715,-254.40000915527344,-245.0,-229.59999084472656,-209.0,-198.0,-188.0,-176.70001220703125,-171.90000915527344,-165.97999572753906
1800,-201.6199951171875,63.83650207519531,6.016685485839844,88.10932922363281,-201.6199951171875,-198.0,21.594804763793945,-254.40000915527344,-245.0,-229.59999084472656,-209.0,-198.0,-188.0,-177.0,-172.95001220703125,-169.8999786376953
1860,-202.0800018310547,63.8304443359375,6.0717926025390625,88.09465980529785,-202.0800018310547,-199.0,21.45771598815918,-254.40000915527344,-245.0,-229.59999084472656,-209.0,-199.0,-189.0,-177.0,-172.95001220703125,-169.8999786376953
