problem,N,K,M,mean,median,q1,q3,p2,p98
NK3,128,1,1,0.769496,0.770458,0.759364,0.777691,0.746447,0.793304
NK3,128,2,1,0.769300,0.769861,0.760475,0.777083,0.748229,0.792072
NK3,128,4,1,0.751287,0.750913,0.741877,0.761504,0.726371,0.777032
NK3,128,8,1,0.718762,0.720132,0.712103,0.726108,0.693945,0.737200
NK3,256,1,1,0.757455,0.759407,0.747685,0.765793,0.734801,0.777408
NK3,256,2,1,0.760583,0.759777,0.754858,0.766817,0.743449,0.780374
NK3,256,4,1,0.745446,0.746554,0.740170,0.750864,0.729639,0.757941
NK3,256,8,1,0.716367,0.716231,0.710297,0.721502,0.703981,0.735407
NK3,64,1,1,0.764827,0.761279,0.749558,0.779408,0.728479,0.807140
NK3,64,2,1,0.774022,0.772124,0.761098,0.789109,0.737967,0.804191
NK3,64,4,1,0.757785,0.758887,0.745603,0.768398,0.724924,0.789461
NK3,64,8,1,0.722379,0.721886,0.709051,0.735495,0.688757,0.761460
NK3,128,1,2,0.786779,0.784766,0.777573,0.793484,0.766880,0.815452
NK3,128,2,2,0.791385,0.791481,0.784870,0.798839,0.769781,0.809200
NK3,128,4,2,0.775661,0.776365,0.765686,0.783368,0.757282,0.798238
NK3,128,8,2,0.737647,0.738022,0.731726,0.742489,0.713213,0.757334
NK3,256,1,2,0.776228,0.777827,0.769788,0.785182,0.752823,0.794156
NK3,256,2,2,0.784098,0.782924,0.776812,0.788845,0.767414,0.808658
NK3,256,4,2,0.768079,0.767843,0.762090,0.773171,0.753942,0.786489
NK3,256,8,2,0.730635,0.731151,0.726869,0.735761,0.713177,0.743411
NK3,64,1,2,0.781550,0.775539,0.765179,0.800396,0.752720,0.819096
NK3,64,2,2,0.801518,0.801809,0.791415,0.813461,0.765759,0.828882
NK3,64,4,2,0.781029,0.781729,0.771228,0.787952,0.757385,0.810801
NK3,64,8,2,0.743390,0.743987,0.736380,0.751346,0.712491,0.770288
NK3,128,1,3,0.791182,0.786824,0.781589,0.801232,0.775265,0.819614
