step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
45,-265.7799987792969,63.96739196777344,3.9815707206726074,88.49575805664062,-265.7799987792969,-248.0,71.5279769897461,-443.32000732421875,-410.54998779296875,-356.6999816894531,-313.0,-248.0,-220.75,-179.8000030517578,-170.0,-166.9399871826172
90,-299.9599914550781,63.941917419433594,4.234350204467773,88.44378153483073,-299.9599914550781,-288.0,61.13606643676758,-443.32000732421875,-410.54998779296875,-388.20001220703125,-338.75,-288.0,-252.25,-228.89999389648438,-222.90000915527344,-212.8399658203125
135,-318.44000244140625,63.91876983642578,4.459755897521973,88.39605458577473,-318.44000244140625,-316.5,55.142234802246094,-443.32000732421875,-410.54998779296875,-391.1000061035156,-354.0,-316.5,-274.5,-252.8000030517578,-234.85000610351562,-228.0
180,-328.6600036621094,63.90232467651367,4.650181770324707,88.35741678873698,-328.6600036621094,-324.5,51.958290100097656,-444.29998779296875,-421.3500061035156,-392.20001220703125,-361.25,-324.5,-291.25,-262.79998779296875,-250.95001220703125,-240.91998291015625
225,-336.1000061035156,63.88248825073242,4.844265460968018,88.31427510579427,-336.1000061035156,-327.0,47.12928771972656,-444.29998779296875,-421.3500061035156,-392.20001220703125,-362.5,-327.0,-309.75,-284.6000061035156,-258.70001220703125,-240.91998291015625
270,-338.2599792480469,63.86542892456055,5.031587600708008,88.2737299601237,-338.260009765625,-328.5,46.68782043457031,-444.29998779296875,-421.3500061035156,-394.79998779296875,-364.5,-328.5,-310.75,-285.0,-258.8000183105469,-240.91998291015625
315,-343.6600036621094,63.84510040283203,5.188349723815918,88.23311360677083,-343.6600036621094,-337.0,47.670372009277344,-459.3600158691406,-436.3500061035156,-402.29998779296875,-369.5,-337.0,-316.75,-288.8999938964844,-267.8000183105469,-250.95999145507812
360,-347.3599853515625,63.824676513671875,5.3619794845581055,88.18919881184895,-347.3599853515625,-342.0,46.368202209472656,-459.3600158691406,-436.3500061035156,-405.29998779296875,-372.75,-342.0,-320.75,-298.0,-267.95001220703125,-258.8399658203125
405,-352.41998291015625,63.80289840698242,5.5222320556640625,88.1458740234375,-352.4200134277344,-345.5,44.16382598876953,-459.3600158691406,-436.3500061035156,-408.20001220703125,-375.25,-345.5,-323.0,-308.0,-285.0,-266.94000244140625
450,-354.0799865722656,63.78355026245117,5.6699676513671875,88.10515848795573,-354.0799865722656,-349.0,43.84214401245117,-459.3600158691406,-436.3500061035156,-408.20001220703125,-376.0,-349.0,-323.75,-309.79998779296875,-288.8000183105469,-274.77996826171875
