runtime, mean, median, std, 2%, 5%, 10%, 25%, 50%, 75%, 90%, 95%, 98%
100,53.0,49.5,35.014282800023196,6.18,6.45,6.9,26.25,49.5,84.25,94.6,101.79999999999998,106.12
200,77.2,71.5,29.812078089257717,35.26,37.15,40.3,57.25,71.5,100.75,109.39999999999999,120.19999999999997,126.68
300,97.4,92.5,25.85033848907979,60.52,64.3,70.6,76.0,92.5,118.5,122.49999999999999,133.74999999999997,140.5
400,116.2,109.5,23.79411691994473,86.36,86.9,87.8,102.0,109.5,130.75,138.39999999999998,153.69999999999996,162.88
500,128.6,123.5,21.850400453996258,98.7,102.75,109.5,113.25,123.5,142.0,152.5,163.74999999999997,170.5
600,141.4,138.0,17.499714283381888,115.62,118.05,122.1,132.0,138.0,151.5,158.29999999999998,168.64999999999998,174.86
700,152.6,149.5,16.206171663906314,126.7,130.75,137.5,145.25,149.5,160.5,174.9,178.95,181.38
800,162.8,159.0,12.75774274705365,140.7,144.75,151.5,157.25,159.0,172.75,176.9,180.95,183.38
900,169.0,164.5,12.505998560690786,149.62,152.05,156.1,161.5,164.5,179.75,186.1,186.55,186.82
1000,176.8,171.5,11.84736257569591,165.0,165.0,165.0,166.75,171.5,185.75,188.5,195.24999999999997,199.3
1100,181.0,176.5,11.027239001672177,168.08,169.7,172.4,173.75,176.5,186.75,189.1,198.54999999999998,204.22
1200,184.2,182.5,12.12270596855339,170.08,171.7,174.4,176.75,182.5,187.0,190.79999999999998,203.39999999999998,210.96
1300,186.6,184.5,13.093509842666327,173.54,174.35,175.7,179.0,184.5,188.75,194.1,208.04999999999995,216.42000000000002
1400,188.4,187.5,12.870120434556936,173.54,174.35,175.7,181.5,187.5,190.25,197.7,209.84999999999997,217.14000000000001
1500,190.4,188.5,13.373107342723305,173.54,174.35,175.7,183.0,188.5,195.75,203.1,212.54999999999998,218.22
1600,191.6,189.5,12.49159717570175,176.54,177.35,178.7,184.0,189.5,195.75,203.1,212.54999999999998,218.22
1700,192.6,190.5,12.273548794053006,176.9,178.25,180.5,184.5,190.5,197.75,203.1,212.54999999999998,218.22
1800,194.2,192.5,12.089665007765932,178.9,180.25,182.5,187.5,192.5,197.75,205.1,214.54999999999998,220.22
1900,195.2,193.5,12.031624994156026,178.9,180.25,182.5,188.5,193.5,199.75,205.1,214.54999999999998,220.22
2000,196.0,194.5,12.417729261020309,178.9,180.25,182.5,188.5,194.5,201.25,208.7,216.35,220.94
2100,196.6,195.0,12.499599993599796,178.9,180.25,182.5,188.5,195.0,202.5,208.7,216.35,220.94
2200,197.6,195.0,12.978443666326097,178.9,180.25,182.5,190.0,195.0,205.5,212.29999999999998,218.14999999999998,221.66
2300,198.2,195.0,13.013838787997953,178.9,180.25,182.5,191.5,195.0,206.5,212.29999999999998,218.14999999999998,221.66
2400,198.6,195.5,12.84678948220138,178.9,180.25,182.5,193.25,195.5,206.5,212.29999999999998,218.14999999999998,221.66
2500,198.6,195.5,12.84678948220138,178.9,180.25,182.5,193.25,195.5,206.5,212.29999999999998,218.14999999999998,221.66
2600,199.6,198.0,12.13424904969401,182.18,182.45,182.9,193.5,198.0,206.5,212.29999999999998,218.14999999999998,221.66
2700,200.2,200.0,11.923086848631105,183.18,183.45,183.9,193.5,200.0,206.5,212.29999999999998,218.14999999999998,221.66
2800,200.8,202.0,11.881077392223316,183.18,183.45,183.9,193.75,202.0,206.75,212.29999999999998,218.14999999999998,221.66
