step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
30,-240.55999755859375,63.97404098510742,3.9225378036499023,88.50784810384114,-240.55999755859375,-234.5,62.882320404052734,-357.55999755859375,-342.04998779296875,-317.6000061035156,-281.0,-234.5,-199.5,-160.6999969482422,-144.89999389648438,-133.0
60,-277.8399963378906,63.955989837646484,4.133784770965576,88.4678446451823,-277.8399963378906,-275.5,57.07814025878906,-436.1400146484375,-364.1000061035156,-344.1000061035156,-304.25,-275.5,-239.0,-213.89999389648438,-198.0,-161.0
90,-291.6000061035156,63.940093994140625,4.311924934387207,88.43307495117188,-291.6000061035156,-287.0,51.67533493041992,-436.1400146484375,-364.1000061035156,-354.0,-317.5,-287.0,-255.0,-233.8000030517578,-225.39999389648438,-197.97999572753906
120,-300.1999816894531,63.92445373535156,4.485028266906738,88.39767964680989,-300.20001220703125,-295.0,49.51020431518555,-438.1000061035156,-385.8500061035156,-354.29998779296875,-327.0,-295.0,-269.5,-241.3000030517578,-230.0,-225.75999450683594
150,-309.03997802734375,63.91009521484375,4.64829158782959,88.36509704589844,-309.0400085449219,-305.0,50.62823486328125,-438.1000061035156,-403.25,-363.1000061035156,-340.5,-305.0,-275.0,-248.8000030517578,-232.9499969482422,-225.8800048828125
180,-315.3999938964844,63.89582443237305,4.791611194610596,88.33278401692708,-315.3999938964844,-308.5,47.387550354003906,-438.1000061035156,-403.25,-364.6000061035156,-342.25,-308.5,-282.0,-262.70001220703125,-246.9499969482422,-235.9199981689453
210,-323.17999267578125,63.88157272338867,4.92027473449707,88.30302429199219,-323.17999267578125,-318.0,44.72390365600586,-438.1000061035156,-408.95001220703125,-372.20001220703125,-348.25,-318.0,-294.25,-269.8999938964844,-263.0,-250.89999389648438
240,-328.47998046875,63.86921310424805,5.053221702575684,88.27401224772136,-328.4800109863281,-322.5,44.986549377441406,-438.1000061035156,-410.8500061035156,-385.29998779296875,-354.75,-322.5,-296.75,-274.5,-266.95001220703125,-256.8800048828125
270,-330.1399841308594,63.85643768310547,5.1788482666015625,88.24536387125652,-330.1400146484375,-326.5,45.11097717285156,-438.1000061035156,-410.8500061035156,-385.29998779296875,-357.5,-326.5,-296.75,-274.5,-266.95001220703125,-256.8800048828125
300,-333.1999816894531,63.84608459472656,5.291525840759277,88.22005462646484,-333.20001220703125,-331.5,44.36011505126953,-438.1000061035156,-410.8500061035156,-388.29998779296875,-359.75,-331.5,-303.75,-275.0,-266.95001220703125,-256.8800048828125
330,-335.2599792480469,63.832862854003906,5.410113334655762,88.19069163004558,-335.260009765625,-332.5,42.76905822753906,-438.1000061035156,-410.8500061035156,-388.29998779296875,-362.0,-332.5,-304.75,-283.0,-269.95001220703125,-262.8800048828125
360,-338.6000061035156,63.822410583496094,5.528827667236328,88.16333262125652,-338.6000061035156,-334.5,43.00581359863281,-439.0799865722656,-427.45001220703125,-391.70001220703125,-362.0,-334.5,-305.75,-283.0,-276.8999938964844,-269.0
390,-340.6199951171875,63.809974670410156,5.649430751800537,88.13512420654297,-340.6199951171875,-334.5,42.588680267333984,-439.0799865722656,-427.45001220703125,-398.3999938964844,-362.25,-334.5,-308.5,-288.8999938964844,-280.79998779296875,-269.0
420,-343.9599914550781,63.79755401611328,5.750550746917725,88.10805257161458,-343.9599914550781,-341.5,43.63414001464844,-440.05999755859375,-436.1000061035156,-402.6000061035156,-364.0,-341.5,-311.25,-291.70001220703125,-280.79998779296875,-269.0
450,-346.53997802734375,63.78695297241211,5.842585563659668,88.08287302652995,-346.5400085449219,-343.5,43.465023040771484,-440.05999755859375,-436.1000061035156,-410.20001220703125,-365.0,-343.5,-314.5,-295.8999938964844,-282.8999938964844,-274.8800048828125
480,-347.47998046875,63.77656173706055,5.94464111328125,88.05817413330078,-347.4800109863281,-343.5,42.94542694091797,-440.05999755859375,-436.1000061035156,-410.20001220703125,-368.5,-343.5,-318.0,-295.8999938964844,-282.8999938964844,-274.8800048828125
510,-352.44000244140625,63.7647819519043,6.031127452850342,88.03346761067708,-352.44000244140625,-347.5,43.019371032714844,-443.3399963378906,-438.04998779296875,-412.6000061035156,-379.25,-347.5,-326.0,-302.70001220703125,-291.8500061035156,-280.760009765625
