problem,n,type_instance,M,mean,median,q1,q3,p2,p98
QUBO,64,5,3,308.239990,307.000000,274.000000,330.000000,243.960007,396.079987
QUBO,64,4,3,321.299988,322.000000,305.750000,339.000000,273.980011,372.000000
QUBO,128,1,3,439.619995,439.000000,423.000000,459.250000,381.959991,492.079987
QUBO,128,3,3,1186.619995,1176.500000,1149.250000,1224.250000,1085.839966,1313.280029
QUBO,256,4,3,2657.379883,2650.000000,2572.750000,2738.000000,2455.639893,2889.459961
QUBO,256,2,3,1250.420044,1248.500000,1194.500000,1292.250000,1147.819946,1378.800049
QUBO,256,5,3,2605.520020,2617.500000,2512.000000,2689.750000,2381.739990,2839.360107
QUBO,256,3,3,3312.919922,3303.000000,3224.000000,3396.000000,3107.860107,3546.679932
QUBO,128,0,3,582.119995,584.000000,562.000000,600.250000,534.900024,633.020020
QUBO,128,4,3,924.320007,919.500000,877.250000,975.500000,780.880005,1044.079956
QUBO,64,1,3,146.500000,145.000000,139.750000,155.000000,115.879997,179.000000
QUBO,128,2,3,425.160004,422.500000,406.750000,440.250000,374.980011,479.040009
QUBO,256,0,3,1639.640015,1643.500000,1597.000000,1680.000000,1523.000000,1754.160034
QUBO,64,0,3,198.320007,199.000000,188.000000,205.000000,174.839996,224.000000
QUBO,64,2,4,139.380005,141.000000,130.750000,146.000000,121.000000,160.000000
QUBO,128,5,4,919.940002,923.500000,874.750000,967.000000,810.919983,1042.239990
QUBO,64,3,4,415.980011,417.000000,398.000000,433.000000,365.959991,477.160004
QUBO,256,1,4,1323.260010,1322.000000,1278.250000,1361.250000,1215.979980,1437.300049
QUBO,64,5,4,310.980011,316.000000,275.000000,332.500000,258.859985,388.000000
QUBO,64,4,4,330.640015,334.000000,321.500000,343.000000,280.000000,372.000000
QUBO,128,1,4,443.920013,448.000000,425.750000,461.250000,386.980011,485.220001
QUBO,128,3,4,1197.119995,1190.000000,1154.750000,1227.250000,1121.979980,1343.040039
QUBO,256,4,4,2682.560059,2686.000000,2592.000000,2766.500000,2445.040039,2912.159912
QUBO,256,2,4,1263.839966,1265.000000,1225.250000,1307.000000,1162.920044,1368.020020
QUBO,256,5,4,2640.860107,2634.500000,2555.000000,2732.500000,2395.520020,2878.679932
QUBO,256,3,4,3366.540039,3368.500000,3291.250000,3433.000000,3152.780029,3635.399902
QUBO,128,0,4,584.320007,584.000000,566.750000,600.250000,531.940002,635.080017
QUBO,128,4,4,947.640015,946.000000,901.750000,992.250000,824.640015,1066.000000
QUBO,64,1,4,147.600006,146.000000,139.000000,155.000000,124.839996,179.000000
QUBO,128,2,4,428.579987,426.500000,409.500000,446.000000,384.000000,481.079987
QUBO,256,0,4,1650.859985,1653.000000,1615.000000,1698.000000,1514.680054,1760.520020
QUBO,64,0,4,199.899994,201.500000,189.750000,207.250000,175.000000,224.000000
QUBO,64,2,5,139.960007,141.000000,132.750000,146.000000,117.000000,159.020004
