step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
120,-294.4599914550781,63.85995101928711,5.349828243255615,88.22861289978027,-294.4599914550781,-286.0,49.098350524902344,-405.739990234375,-384.3999938964844,-357.29998779296875,-324.5,-286.0,-258.75,-238.89999389648438,-229.9499969482422,-220.9199981689453
240,-323.9599914550781,63.72196960449219,6.585061550140381,87.9052619934082,-323.9599914550781,-310.0,45.95365524291992,-437.1000061035156,-405.1499938964844,-391.1000061035156,-353.25,-310.0,-287.75,-270.0,-263.95001220703125,-260.94000244140625
360,-337.6000061035156,63.57786178588867,7.618794918060303,87.57722282409668,-337.6000061035156,-333.5,46.98829650878906,-449.0199890136719,-418.0,-401.20001220703125,-366.25,-333.5,-302.0,-280.79998779296875,-269.75,-260.94000244140625
480,-349.0,63.435386657714844,8.549079895019531,87.24393844604492,-349.0,-343.0,42.477054595947266,-449.0199890136719,-418.0,-404.1000061035156,-377.5,-343.0,-320.25,-294.79998779296875,-283.95001220703125,-280.8599853515625
600,-359.41998291015625,63.27203369140625,9.367630004882812,86.89231300354004,-359.4200134277344,-353.5,43.25741195678711,-450.05999755859375,-439.1499938964844,-417.1000061035156,-389.5,-353.5,-326.0,-307.79998779296875,-296.79998779296875,-282.9599914550781
720,-368.79998779296875,63.07908630371094,10.102190017700195,86.51144981384277,-368.79998779296875,-367.5,41.000732421875,-453.05999755859375,-442.3500061035156,-419.29998779296875,-400.5,-367.5,-337.75,-317.0,-308.0,-298.9599914550781
840,-378.0,62.88882064819336,10.776130676269531,86.13619613647461,-378.0,-376.0,40.75217819213867,-455.0199890136719,-449.04998779296875,-437.20001220703125,-408.75,-376.0,-342.75,-325.79998779296875,-316.95001220703125,-312.8999938964844
960,-382.05999755859375,62.67686080932617,11.41403579711914,85.73111343383789,-382.05999755859375,-377.0,40.86632537841797,-456.0199890136719,-451.1000061035156,-444.20001220703125,-411.75,-377.0,-349.75,-327.79998779296875,-320.79998779296875,-313.9800109863281
1080,-388.239990234375,62.42394256591797,11.991674423217773,85.29071044921875,-388.239990234375,-388.0,40.87691879272461,-457.1199951171875,-453.1000061035156,-448.1000061035156,-417.0,-388.0,-360.0,-332.8999938964844,-320.79998779296875,-313.9800109863281
1200,-393.6199951171875,62.15305709838867,12.53711223602295,84.82594299316406,-393.6199951171875,-392.5,39.53069305419922,-457.1199951171875,-455.04998779296875,-449.1000061035156,-420.5,-392.5,-367.75,-337.79998779296875,-325.95001220703125,-316.9800109863281
1320,-402.67999267578125,61.8576774597168,13.061298370361328,84.33004951477051,-402.67999267578125,-405.0,38.44681167602539,-471.260009765625,-457.1499938964844,-453.0,-429.0,-405.0,-374.0,-352.70001220703125,-337.8999938964844,-324.94000244140625
