step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
50,-263.8399963378906,127.98054504394531,7.592764377593994,177.07188415527344,-263.8399963378906,-263.0,53.88278579711914,-393.3999938964844,-336.1499938964844,-321.29998779296875,-295.0,-263.0,-225.0,-202.30001831054688,-174.90000915527344,-160.8399658203125
100,-300.29998779296875,127.96046447753906,7.934349060058594,177.01857299804686,-300.29998779296875,-292.5,51.302337646484375,-413.55999755859375,-400.1499938964844,-376.29998779296875,-327.0,-292.5,-267.0,-240.8000030517578,-227.0,-214.0
150,-315.55999755859375,127.9410171508789,8.280847549438477,176.9645263671875,-315.55999755859375,-311.0,49.369895935058594,-441.1199951171875,-407.29998779296875,-391.20001220703125,-336.0,-311.0,-279.0,-262.79998779296875,-248.550048828125,-237.97999572753906
200,-326.4599914550781,127.91959381103516,8.59829044342041,176.909765625,-326.4599914550781,-323.0,46.41560363769531,-441.1199951171875,-407.29998779296875,-393.0,-353.5,-323.0,-293.0,-269.79998779296875,-262.9000244140625,-239.95999145507812
250,-333.8999938964844,127.89863586425781,8.921783447265625,176.8542236328125,-333.8999938964844,-328.0,45.00011444091797,-441.1199951171875,-407.29998779296875,-393.6999816894531,-364.0,-328.0,-302.5,-278.79998779296875,-268.95001220703125,-262.7199401855469
300,-340.91998291015625,127.8781509399414,9.244574546813965,176.79771118164064,-340.9200134277344,-335.0,45.977970123291016,-447.0799865722656,-415.04998779296875,-403.3999938964844,-366.5,-335.0,-311.0,-281.6000061035156,-268.95001220703125,-264.9599914550781
350,-344.0199890136719,127.85820770263672,9.542145729064941,176.74336853027344,-344.0199890136719,-335.0,44.17442321777344,-447.0799865722656,-415.04998779296875,-403.3999938964844,-372.25,-335.0,-311.0,-288.79998779296875,-277.95001220703125,-268.97998046875
400,-347.239990234375,127.83712005615234,9.833842277526855,176.6872528076172,-347.239990234375,-345.5,42.26348876953125,-447.0799865722656,-415.04998779296875,-403.3999938964844,-372.25,-345.5,-321.25,-296.70001220703125,-279.9000244140625,-268.97998046875
450,-354.7599792480469,127.8155517578125,10.1364164352417,176.62848510742188,-354.760009765625,-351.0,42.70927810668945,-447.0799865722656,-434.20001220703125,-413.20001220703125,-379.25,-351.0,-327.75,-304.8999938964844,-293.7500305175781,-279.94000244140625
500,-356.0,127.79280090332031,10.429330825805664,176.56912536621093,-356.0,-352.0,41.67277145385742,-447.0799865722656,-434.20001220703125,-413.20001220703125,-379.25,-352.0,-330.0,-306.79998779296875,-294.0,-279.94000244140625
550,-358.8399963378906,127.7691879272461,10.695169448852539,176.5104248046875,-358.8399963378906,-354.0,40.56050109863281,-447.0799865722656,-434.20001220703125,-415.0,-384.75,-354.0,-334.75,-308.79998779296875,-300.6500244140625,-288.8199462890625
600,-362.97998046875,127.74370574951172,10.94843578338623,176.45085754394532,-362.9800109863281,-356.0,39.68954086303711,-451.1400146484375,-438.1499938964844,-415.1000061035156,-390.25,-356.0,-335.0,-317.0,-307.0,-293.89996337890625
650,-365.7200012207031,127.71833801269531,11.208630561828613,176.38994750976562,-365.7200012207031,-360.0,40.46556091308594,-451.1400146484375,-441.0,-421.3999938964844,-393.0,-360.0,-335.0,-318.79998779296875,-308.9000244140625,-298.89996337890625
700,-369.6399841308594,127.6954574584961,11.468215942382812,176.32967224121094,-369.6400146484375,-363.5,39.19655990600586,-451.1400146484375,-441.20001220703125,-425.6000061035156,-393.5,-363.5,-342.5,-326.5,-316.70001220703125,-306.8399658203125
