Job démarré sur gnode5 à Tue Mar 10 09:33:12 CET 2026
Run main_expe
  -> run QUBO_dim256_t4
     avg_score=-2693.320068 | runtime=11.07s
     -> TOP 1
  -> run QUBO_dim256_t5
     avg_score=-2658.399902 | runtime=11.03s
     -> TOP 1
  -> run NK_dim128_t1
     avg_score=0.711409 | runtime=9.25s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.739876 | runtime=9.35s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.763270 | runtime=9.54s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.745407 | runtime=10.97s
     -> TOP 1
  -> run NK_dim256_t1
     avg_score=0.708954 | runtime=11.05s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.739527 | runtime=11.11s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.758535 | runtime=11.55s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.733824 | runtime=14.43s
     -> TOP 1
  -> run NK_dim64_t1
     avg_score=0.712081 | runtime=8.85s
     -> TOP 1
  -> run NK_dim64_t2
     avg_score=0.746503 | runtime=8.87s
     -> TOP 1
  -> run NK_dim64_t4
     avg_score=0.758289 | runtime=8.93s
  -> run NK_dim64_t8
     avg_score=0.751867 | runtime=9.42s

  *** SUMMARY FOR CONFIG: kfr__advglobalrankweighted__M6__L10__eps0p05__g0p008__ds0p01__dm0p01 ***
  NOMBRE DE TOP 1 : 0 (NK: 0, QUBO: 0)
  NOMBRE DE TOP 3 : 0
  NOMBRE DE TOP 5 : 0
  NOMBRE DE TOP 10 : 0
  Instances: 0/0

[CONFIG] kfr__advglobalrankweighted__M6__L10__eps0p07__g0p005__ds0p01__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-202.960007 | runtime=9.11s
  -> run QUBO_dim64_t1
     avg_score=-150.380005 | runtime=8.96s
  -> run QUBO_dim64_t2
     avg_score=-140.039993 | runtime=8.97s
  -> run QUBO_dim64_t3
     avg_score=-419.420013 | runtime=9.04s
  -> run QUBO_dim64_t4
     avg_score=-333.339996 | runtime=8.95s
  -> run QUBO_dim64_t5
     avg_score=-313.500000 | runtime=9.01s
  -> run QUBO_dim128_t0
     avg_score=-589.719971 | runtime=9.21s
     -> TOP 1
  -> run QUBO_dim128_t1
     avg_score=-446.760010 | runtime=9.18s
  -> run QUBO_dim128_t2
     avg_score=-434.079987 | runtime=9.22s
  -> run QUBO_dim128_t3
     avg_score=-1209.219971 | runtime=9.26s
  -> run QUBO_dim128_t4
