Job démarré sur gnode5 à Mon Feb 16 13:40:47 CET 2026
Run main_expe
[CONFIG] krbf__advnormalizedfitness__M2__L6__eps0p01__g0p006__ds0p01__dm0p01
  -> run QUBO_dim256_t5
     avg_score=-2502.280029 | runtime=4.96s
  -> run NK_dim128_t1
     avg_score=0.710462 | runtime=4.77s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737473 | runtime=4.79s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.755663 | runtime=4.81s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.716676 | runtime=5.24s
  -> run NK_dim256_t1
     avg_score=0.707100 | runtime=4.87s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.733410 | runtime=4.92s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.739658 | runtime=5.02s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.656535 | runtime=6.05s
  -> run NK_dim64_t1
     avg_score=0.711620 | runtime=4.75s
  -> run NK_dim64_t2
     avg_score=0.744179 | runtime=4.76s
  -> run NK_dim64_t4
     avg_score=0.753575 | runtime=4.77s
  -> run NK_dim64_t8
     avg_score=0.739388 | runtime=4.99s
[CONFIG] krbf__advnormalizedfitness__M2__L6__eps0p01__g0p01__ds0p3__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-200.059998 | runtime=4.75s
  -> run QUBO_dim64_t1
     avg_score=-148.639999 | runtime=4.75s
  -> run QUBO_dim64_t2
     avg_score=-137.259995 | runtime=4.75s
  -> run QUBO_dim64_t3
     avg_score=-413.279999 | runtime=4.76s
  -> run QUBO_dim64_t4
     avg_score=-326.700012 | runtime=4.75s
  -> run QUBO_dim64_t5
     avg_score=-308.320007 | runtime=4.76s
  -> run QUBO_dim128_t0
     avg_score=-576.400024 | runtime=4.79s
  -> run QUBO_dim128_t1
     avg_score=-439.679993 | runtime=4.79s
  -> run QUBO_dim128_t2
     avg_score=-427.959991 | runtime=4.79s
  -> run QUBO_dim128_t3
     avg_score=-1189.260010 | runtime=4.80s
  -> run QUBO_dim128_t4
     avg_score=-929.559998 | runtime=4.79s
  -> run QUBO_dim128_t5
     avg_score=-900.979980 | runtime=4.79s
  -> run QUBO_dim256_t0
     avg_score=-1610.819946 | runtime=4.95s
     -> TOP 1
  -> run QUBO_dim256_t1
     avg_score=-1292.439941 | runtime=4.96s
  -> run QUBO_dim256_t2
     avg_score=-1212.040039 | runtime=4.92s
  -> run QUBO_dim256_t3
     avg_score=-3257.020020 | runtime=4.95s
  -> run QUBO_dim256_t4
     avg_score=-2582.419922 | runtime=4.96s
  -> run QUBO_dim256_t5
     avg_score=-2545.280029 | runtime=4.96s
  -> run NK_dim128_t1
     avg_score=0.710548 | runtime=4.77s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737862 | runtime=4.78s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.756949 | runtime=4.80s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.730673 | runtime=5.24s
  -> run NK_dim256_t1
     avg_score=0.707439 | runtime=4.87s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.734672 | runtime=4.91s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.747965 | runtime=5.02s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.701456 | runtime=6.04s
  -> run NK_dim64_t1
     avg_score=0.711520 | runtime=4.75s
  -> run NK_dim64_t2
     avg_score=0.743887 | runtime=4.76s
  -> run NK_dim64_t4
     avg_score=0.752604 | runtime=4.77s
  -> run NK_dim64_t8
     avg_score=0.739510 | runtime=4.99s
[CONFIG] krbf__advnormalizedfitness__M2__L6__eps0p01__g0p01__ds0p3__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-199.600006 | runtime=4.76s
  -> run QUBO_dim64_t1
     avg_score=-147.720001 | runtime=4.74s
  -> run QUBO_dim64_t2
     avg_score=-139.460007 | runtime=4.75s
  -> run QUBO_dim64_t3
     avg_score=-411.320007 | runtime=4.75s
  -> run QUBO_dim64_t4
     avg_score=-327.059998 | runtime=4.75s
  -> run QUBO_dim64_t5
     avg_score=-307.899994 | runtime=4.75s
  -> run QUBO_dim128_t0
     avg_score=-578.179993 | runtime=4.80s
  -> run QUBO_dim128_t1
     avg_score=-434.239990 | runtime=4.79s
  -> run QUBO_dim128_t2
     avg_score=-423.540009 | runtime=4.79s
  -> run QUBO_dim128_t3
     avg_score=-1169.839966 | runtime=4.80s
  -> run QUBO_dim128_t4
     avg_score=-928.580017 | runtime=4.79s
  -> run QUBO_dim128_t5
     avg_score=-905.179993 | runtime=4.80s
  -> run QUBO_dim256_t0
     avg_score=-1556.680054 | runtime=4.96s
  -> run QUBO_dim256_t1
     avg_score=-1264.459961 | runtime=4.96s
  -> run QUBO_dim256_t2
     avg_score=-1182.199951 | runtime=4.95s
  -> run QUBO_dim256_t3
     avg_score=-3138.719971 | runtime=4.96s
  -> run QUBO_dim256_t4
     avg_score=-2550.879883 | runtime=4.96s
  -> run QUBO_dim256_t5
     avg_score=-2451.840088 | runtime=4.96s
  -> run NK_dim128_t1
     avg_score=0.710136 | runtime=4.77s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737005 | runtime=4.78s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.755482 | runtime=4.81s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.704816 | runtime=5.25s
  -> run NK_dim256_t1
     avg_score=0.706617 | runtime=4.88s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.732420 | runtime=4.92s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.735498 | runtime=5.02s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.634173 | runtime=6.05s
  -> run NK_dim64_t1
     avg_score=0.711493 | runtime=4.76s
  -> run NK_dim64_t2
     avg_score=0.744588 | runtime=4.76s
  -> run NK_dim64_t4
     avg_score=0.753677 | runtime=4.78s
  -> run NK_dim64_t8
     avg_score=0.735959 | runtime=5.00s
[CONFIG] krbf__advnormalizedfitness__M2__L6__eps0p01__g0p015__ds0p01__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-201.240005 | runtime=4.76s
  -> run QUBO_dim64_t1
     avg_score=-149.380005 | runtime=4.75s
  -> run QUBO_dim64_t2
     avg_score=-137.699997 | runtime=4.75s
  -> run QUBO_dim64_t3
     avg_score=-416.220001 | runtime=4.76s
  -> run QUBO_dim64_t4
     avg_score=-329.420013 | runtime=4.76s
  -> run QUBO_dim64_t5
     avg_score=-308.079987 | runtime=4.76s
  -> run QUBO_dim128_t0
     avg_score=-580.979980 | runtime=4.80s
  -> run QUBO_dim128_t1
     avg_score=-440.100006 | runtime=4.79s
  -> run QUBO_dim128_t2
     avg_score=-426.100006 | runtime=4.79s
  -> run QUBO_dim128_t3
     avg_score=-1191.160034 | runtime=4.80s
  -> run QUBO_dim128_t4
     avg_score=-934.239990 | runtime=4.80s
  -> run QUBO_dim128_t5
     avg_score=-906.840027 | runtime=4.80s
  -> run QUBO_dim256_t0
     avg_score=-1607.719971 | runtime=4.96s
     -> TOP 1
  -> run QUBO_dim256_t1
     avg_score=-1289.180054 | runtime=4.96s
  -> run QUBO_dim256_t2
     avg_score=-1213.140015 | runtime=4.96s
  -> run QUBO_dim256_t3
     avg_score=-3262.280029 | runtime=4.96s
  -> run QUBO_dim256_t4
     avg_score=-2597.120117 | runtime=4.96s
  -> run QUBO_dim256_t5
     avg_score=-2510.360107 | runtime=4.95s
  -> run NK_dim128_t1
     avg_score=0.710690 | runtime=4.78s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737382 | runtime=4.78s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.757821 | runtime=4.81s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.727678 | runtime=5.24s
  -> run NK_dim256_t1
     avg_score=0.707699 | runtime=4.87s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.736070 | runtime=4.91s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.747455 | runtime=5.02s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.693764 | runtime=6.05s
  -> run NK_dim64_t1
     avg_score=0.711786 | runtime=4.76s
  -> run NK_dim64_t2
     avg_score=0.744891 | runtime=4.76s
  -> run NK_dim64_t4
     avg_score=0.751653 | runtime=4.78s
  -> run NK_dim64_t8
     avg_score=0.740329 | runtime=5.00s
[CONFIG] krbf__advnormalizedfitness__M2__L6__eps0p01__g0p015__ds0p01__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-199.020004 | runtime=4.76s
  -> run QUBO_dim64_t1
     avg_score=-147.220001 | runtime=4.75s
  -> run QUBO_dim64_t2
     avg_score=-139.360001 | runtime=4.75s
